date,value,change,增减
2025-05-06,959785,0.0,
2025-05-07,940981,-18804.0,
2025-05-08,931982,-8999.0,
2025-05-09,934459,2477.0,
2025-05-12,924953,-9506.0,
2025-05-13,932184,7231.0,
2025-05-14,919463,-12721.0,
2025-05-15,914782,-4681.0,
2025-05-16,887018,-27764.0,
2025-05-19,901432,14414.0,
2025-05-20,929222,27790.0,
2025-05-21,940799,11577.0,
2025-05-22,949197,8398.0,
2025-05-23,960641,11444.0,
2025-05-26,957380,-3261.0,
2025-05-27,988320,30940.0,
2025-05-28,1006250,17930.0,
2025-05-29,1035919,29669.0,
2025-05-30,1066885,30966.0,
2025-06-03,1068846,1961.0,
2025-06-04,1087210,18364.0,
2025-06-05,1107305,20095.0,
2025-06-06,1117940,10635.0,
2025-06-09,1158326,40386.0,
2025-06-10,1193716,35390.0,
2025-06-11,1229816,36100.0,
2025-06-12,1226150,-3666.0,
2025-06-13,1210055,-16095.0,
2025-06-16,1194931,-15124.0,
2025-06-17,1215096,20165.0,
2025-06-18,1229032,13936.0,
2025-06-19,1242994,13962.0,
2025-06-20,1230233,-12761.0,
2025-06-23,1247103,16870.0,
2025-06-24,1256831,9728.0,
2025-06-25,1276796,19965.0,
2025-06-26,1270830,-5966.0,
2025-06-27,1295663,24833.0,
2025-06-30,1299756,4093.0,
2025-07-01,1338844,39088.0,
2025-07-02,1338659,-185.0,
2025-07-03,1340792,2133.0,
2025-07-04,1339746,-1046.0,
2025-07-07,1330695,-9051.0,
2025-07-08,1334731,4036.0,
2025-07-09,1320909,-13822.0,
2025-07-10,1297158,-23751.0,
2025-07-11,1303593,6435.0,
2025-07-14,1223982,-79611.0,
2025-07-15,1222959,-1023.0,
2025-07-16,1212789,-10170.0,
2025-07-17,1217085,4296.0,
2025-07-18,1211076,-6009.0,
2025-07-21,1204466,-6610.0,
2025-07-22,1199046,-5420.0,
2025-07-23,1188482,-10564.0,
2025-07-24,1188721,239.0,
2025-07-25,1187254,-1467.0,
2025-07-28,1208269,21015.0,
2025-07-29,1204866,-3403.0,
2025-07-30,1208094,3228.0,
2025-07-31,1208033,-61.0,
2025-08-01,1183957,-24076.0,
2025-08-04,1174273,-9684.0,
2025-08-05,1157291,-16982.0,
2025-08-06,1161844,4553.0,
2025-08-07,1150338,-11506.0,
2025-08-08,1158387,8049.0,
2025-08-11,1151962,-6425.0,
2025-08-12,1151209,-753.0,
2025-08-13,1135098,-16111.0,
2025-08-14,1150782,15684.0,
2025-08-15,1141555,-9227.0,
2025-08-18,1138426,-3129.0,
2025-08-19,1149446,11020.0,
2025-08-20,1140199,-9247.0,
2025-08-21,1115055,-25144.0,
2025-08-22,1109123,-5932.0,
2025-08-25,1113641,4518.0,
2025-08-26,1127333,13692.0,
2025-08-27,1165498,38165.0,
2025-08-28,1178523,13025.0,
2025-08-29,1195996,17473.0,
2025-09-01,1207227,11231.0,
2025-09-02,1215228,8001.0,
2025-09-03,1227039,11811.0,
2025-09-04,1259949,32910.0,
2025-09-05,1265409,5460.0,
2025-09-08,1261903,-3506.0,
2025-09-09,1250339,-11564.0,
2025-09-10,1252170,1831.0,
2025-09-11,1240187,-11983.0,
2025-09-12,1246569,6382.0,
2025-09-15,1243481,-3088.0,
2025-09-16,1231261,-12220.0,
2025-09-17,1221428,-9833.0,
2025-09-18,1203523,-17905.0,
2025-09-19,1159443,-44080.0,
2025-09-22,1148624,-10819.0,
2025-09-23,1149043,419.0,
2025-09-24,1161799,12756.0,
2025-09-25,1156855,-4944.0,
2025-09-26,1158266,1411.0,
2025-09-29,1189648,31382.0,
2025-09-30,1192282,2634.0,
2025-10-09,1186846,-5436.0,
2025-10-10,1169061,-17785.0,
2025-10-13,1124456,-44605.0,
2025-10-14,1063072,-61384.0,
2025-10-15,1030429,-32643.0,
2025-10-16,982255,-48174.0,
2025-10-17,920103,-62152.0,
2025-10-20,855850,-64253.0,
2025-10-21,749362,-106488.0,
2025-10-22,691688,-57674.0,
2025-10-23,663366,-28322.0,
2025-10-24,664971,1605.0,
2025-10-27,647643,-17328.0,
2025-10-28,657427,9784.0,
2025-10-29,653828,-3599.0,
2025-10-30,662835,9007.0,
2025-10-31,665544,2709.0,
2025-11-03,658851,-6693.0,
2025-11-04,665610,6759.0,
2025-11-05,656170,-9440.0,
2025-11-06,639940,-16230.0,
2025-11-07,623052,-16888.0,-16888.0
2025-11-10,609978,-13074.0,-13074.0
2025-11-11,591884,-18094.0,-18094.0
2025-11-12,583060,-8824.0,-8824.0
2025-11-13,584014,954.0,954.0
2025-11-14,576894,-7120.0,-7120.0
2026-03-18,346920,-229974.0,
2026-03-19,364865,17945.0,17945.0
2026-03-20,362495,-2370.0,-2370.0
2026-03-23,364549,2054.0,2054.0
2026-03-24,365923,1374.0,1374.0
2026-03-25,376094,10171.0,10171.0
2026-03-26,370299,-5795.0,-5795.0
2026-03-27,371799,1500.0,1500.0
2026-03-30,374427,2628.0,2628.0
2026-03-31,368667,-5760.0,-5760.0
2026-04-01,323319,-45348.0,-45348.0
2026-04-02,338180,14861.0,14861.0
2026-04-03,338774,594.0,594.0
2026-04-07,352322,13548.0,13548.0
2026-04-08,367180,14858.0,14858.0
2026-04-09,393729,26549.0,26549.0
2026-04-10,421461,27732.0,27732.0
2026-04-13,457622,36161.0,36161.0
2026-04-14,492071,34449.0,34449.0
2026-04-15,500175,8104.0,8104.0
2026-04-16,520800,20625.0,20625.0
2026-04-17,564832,44032.0,44032.0
2026-04-20,591523,26691.0,26691.0
2026-04-21,614576,23053.0,23053.0
2026-04-22,644273,29697.0,29697.0
2026-04-23,648201,3928.0,3928.0
2026-04-24,689522,41321.0,41321.0
2026-04-27,718961,29439.0,29439.0
2026-04-28,735174,16213.0,16213.0
2026-04-29,738048,2874.0,2874.0
2026-04-30,764753,26705.0,26705.0
2026-05-06,767072,2319.0,2319.0
2026-05-07,787902,20830.0,20830.0
2026-05-08,812413,24511.0,24511.0
