date,value,change,增减
2026-06-11,93100,1968.0,1968.0
2026-06-12,93148,48.0,48.0
2026-06-15,93143,-5.0,-5.0
2026-06-16,93363,220.0,220.0
2026-06-17,93416,53.0,53.0
2026-06-18,93955,539.0,539.0
2026-06-22,94269,314.0,314.0
2026-06-23,94768,499.0,499.0
2026-06-24,95026,258.0,258.0
2026-06-25,96109,1083.0,1083.0
2026-06-26,97057,948.0,948.0
