时间,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,WILLIAMS_R14,KDJ_K,KDJ_D,KDJ_J,CCI20,PLUS_DI14,MINUS_DI14,ADX14,STOCH_RSI,PSAR,HHV20,LLV20,BREAKOUT_LONG20,BREAKOUT_SHORT20,VOL_MA20,OBV,VWAP20,BUY_PRESSURE,SELL_PRESSURE,PRICE_EFFICIENCY,LIQUIDITY_RATIO,DRAWDOWN_20,MAX_DRAWDOWN_20,SHARPE_RATIO_20,VAR_95_1D,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,PANIC_INDEX,MARKET_BREADTH,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,OI_CONCENTRATION,ROLLOVER_PRESSURE,MONEY_FLOW_DIRECTION,PRICE_OI_DIVERGENCE
2006-12-19,,,,9630.0,9630.0,9630.0,9630.0,9630.0,494.0,0.0,0.0,0.0,0.0,9630.0,9630.0,9630.0,0.0,-30.76923076923077,69.23076923076923,69.23076923076923,69.23076923076923,0.0,0.0,0.0,0.0,0.0,9630.0,9630.0,9630.0,0,0,24698.0,0,9566.666666666666,0.6923076923076923,0.3076923076923077,0.0,49995.95141700405,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,246980000000000.0,0.0,0.0
2006-12-20,,,,9643.0,9643.0,9643.0,9643.0,9632.47619047619,323.0,99.99999999923077,2.074074074074815,0.4148148148149631,1.659259259259852,9679.769552621701,9606.230447378299,9643.0,73.53910524340245,-25.506072874493928,70.9851551956815,69.81556455240664,73.32433648223122,35.35533905932782,0.0,0.0,0.0,100.0,9288.0,9656.0,9630.0,1,0,24825.5,24953,9603.521647768088,0.6578947368421053,0.34210526315789475,0.17105263157894737,164164.47368421053,0.0,0.0,11.224972160321824,0.013499480789200824,79.99999999938461,19.999999999846153,0.0,0.5,0.0,0.0,0.0,0.0,248255000000000.0,0.0,0.0
2006-12-21,,,,9664.666666666666,9664.666666666666,9664.666666666666,9664.666666666666,9639.668934240364,236.66666666666666,99.99999999961538,7.823572860610511,1.8965664239740727,5.927006436636439,9744.097978712567,9585.235354620765,9664.666666666666,158.862624091802,-14.979757085020243,75.66351776878092,71.76488229119806,83.46078872394662,47.401722909297916,1.6901408450704225,0.0,33.333333333333336,99.99999999999999,9288.0,9708.0,9630.0,1,0,20913.666666666668,38043,9622.537734495785,0.8125,0.1875,0.8125,204531.25,0.0,0.0,15.888775070621303,0.026998961578401648,99.99999999946154,39.99999999969231,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,209136666666666.66,0.0,0.0
2006-12-22,,,,9664.0,9664.0,9664.0,9664.0,9641.795702407948,196.0,62.903225806451616,8.569492731990977,3.231151685577454,5.338341046413523,9728.910194371403,9599.089805628597,9664.0,129.82038874280624,-24.291497975708502,75.67851252061777,73.06942570100463,80.89668615984405,21.188630494616575,1.530612244897959,2.806122448979592,32.35294117647059,62.903225806693555,9782.0,9708.0,9630.0,0,0,18154.5,28166,9628.267821568574,0.4375,0.5625,0.71875,154328.125,-0.4738360115368767,-0.4738360115368767,3.0758096746006576,-0.4027606098063452,99.99999999938461,37.741935483870975,0.0,0.5,0.0,0.0,0.0,0.0,181545000000000.0,0.0,0.0
2006-12-25,,,,9666.0,9666.0,9666.0,9666.0,9644.862778369097,177.6,66.1764705882353,10.013509808064555,4.587623310074875,5.42588649798968,9722.920997883031,9609.079002116969,9666.0,113.84199576606261,-21.86234817813765,76.49822562103263,74.21235900768063,81.06995884773661,0.4224388515610529,1.3513513513513513,9.234234234234233,40.77596996245307,66.17647058848983,9288.0,9708.0,9630.0,0,0,15553.6,33316,9629.177202276856,0.9615384615384616,0.038461538461538464,0.11538461538461539,49519.230769230766,-0.35022661722292625,-0.4738360115368767,3.89114237432853,-0.37906880922950137,99.99999999930769,50.322580645161295,0.0,0.6,0.0,0.0,0.0,0.0,155536000000000.0,0.0,0.0
2006-12-26,,,,9709.6,9696.333333333334,9696.333333333334,9696.333333333334,9664.209180429183,186.0,85.16129032258064,24.911090026549573,8.652316653369816,16.258773373179757,9853.41505304211,9539.251613624558,9696.333333333334,314.1634394175526,-6.976744186046512,82.0065690186729,76.81042901134472,92.39884903332927,85.38417835324637,20.07168458781362,7.347670250896057,41.71417976173922,85.16129032290819,9288.0,9848.0,9630.0,1,0,15970.833333333334,51373,9661.366581441864,0.8157894736842105,0.18421052631578946,0.7631578947368421,79197.36842105263,0.0,-0.4738360115368767,7.725635188795221,-0.35537700865265753,99.99999999923077,62.903225806451616,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,142254000000000.0,0.0,0.0
2006-12-27,,,,9760.0,9726.57142857143,9726.57142857143,9726.57142857143,9687.427353721641,174.28571428571428,87.56756756756756,41.08542108061556,15.138937538818965,25.946483541796596,9941.429078013587,9511.713779129272,9726.57142857143,429.7152988843154,-1.2738853503184713,87.57975089567579,80.4002029727884,101.93884674145056,84.86168654247777,20.491803278688526,6.721311475409836,42.9839268869985,87.56756756790436,9288.0,9908.0,9630.0,1,0,16503.571428571428,71073,9698.4218653971,0.9230769230769231,0.07692307692307693,0.5769230769230769,189423.07692307694,0.0,-0.4738360115368767,9.140835914287731,-0.33168520807581364,97.51351351289813,63.55787476280835,1.0,0.7142857142857143,0.0,0.0,0.0,0.0,131748000000000.0,0.0,0.0
2006-12-28,,,,9771.6,9731.5,9731.5,9731.5,9694.91046289101,171.25,63.28125,41.96177252091729,20.503504535238633,21.45826798567866,9932.363848699275,9530.636151300725,9731.5,401.72769739854994,-23.88535031847134,83.75805049096007,81.51948547884562,88.23518051518897,42.50811106450929,18.248175182481752,9.927007299270073,41.30264587068327,63.28125000024339,9916.0,9908.0,9630.0,0,0,16717.375,52859,9712.255856556427,0.06779661016949153,0.9322033898305084,1.2033898305084745,154355.93220338985,-1.4331853048042076,-1.4331853048042076,3.0710116853847995,-1.0974130521606345,95.02702702656549,63.05443548387097,1.0,0.75,0.0,0.0,0.0,0.0,141996000000000.0,0.0,0.0
2006-12-29,,,,9760.4,9717.555555555555,9717.555555555555,9717.555555555555,9686.442799758534,170.66666666666666,48.214285714285715,29.406643050830098,22.284132238356925,7.122510812473173,9923.23275679845,9511.87835431266,9717.555555555555,411.35440248579107,-49.36305732484077,72.71768121902647,78.58555072557257,60.981942205934274,-25.279381541222744,16.276041666666668,19.140625,37.61215580662043,48.21428571447115,9916.0,9908.0,9606.0,0,1,16735.11111111111,35982,9705.728103255962,0.038461538461538464,0.9615384615384616,1.0256410256410255,108185.89743589744,-3.0480419862737196,-3.0480419862737196,-0.34157981984993985,-1.5562763746351727,92.54054054023285,57.02764976958525,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,155996000000000.0,0.0,0.0
2007-01-01,,,,9755.2,9710.6,9710.6,9710.6,9682.781580733912,169.0,51.260504201680675,22.58531206371481,22.344368203428502,0.24094386028630765,9909.441533778925,9511.758466221076,9710.6,397.6830675578494,-42.67515923566879,58.66843687486048,71.94651277533521,32.11228507391104,-38.55591397210407,14.792899408284024,21.53846153846154,35.70761775038835,51.260504201877836,9288.0,9908.0,9606.0,0,0,16722.0,52586,9697.281983813738,0.7662337662337663,0.23376623376623376,0.2727272727272727,107818.18181818181,-2.624142107387961,-3.0480419862737196,0.3663480324613775,-1.5460187854825913,90.0540540539002,50.65126050420168,1.0,0.6,0.0,0.0,0.0,0.0,178904000000000.0,0.0,0.0
