时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,STOCH_RSI,VOL_MA20,MAX_DRAWDOWN_20,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,MARKET_BREADTH,OI_MA20
2013-07-05,6610.0,6610.0,6610.0,6610.0,6610.0,15.0,0.0,0.0,0.0,0.0,6610.0,6610.0,6610.0,0.0,0.0,652.0,0.0,0.0,0.0,0.0,11356.0
2013-07-08,6620.0,6620.0,6620.0,6620.0,6611.904761904762,17.5,99.999999999,1.595441595441116,0.3190883190882232,1.2763532763528929,6648.284271247462,6591.715728752538,6620.0,56.56854249492426,100.0,741.0,0.0,79.9999999992,19.9999999998,0.5,11234.5
2013-07-09,6610.0,6610.0,6610.0,6610.0,6609.818594104309,28.333333333333332,33.33333333333333,-0.36363341206651967,0.18254397285727464,-0.5461773849237943,6650.0,6570.0,6610.0,80.0,33.333333333666666,1204.6666666666667,-0.6033182503770718,73.33333333273333,13.333333333333332,0.3333333333333333,10932.666666666666
2013-07-10,6600.0,6600.0,6600.0,6600.0,6606.026347046755,36.25,25.0,-3.489818863396067,-0.5519285943933938,-2.9378902690026734,6651.639777949432,6548.360222050568,6600.0,103.27955589886369,25.00000000025,1577.75,-0.9049773755656076,59.99999999960002,15.000000000000002,0.25,10729.0
2013-07-11,6605.0,6605.0,6605.0,6605.0,6607.833361613731,47.0,55.55555555555556,-1.5118750561641718,-0.7439178867475494,-0.7679571694166224,6655.0,6555.0,6605.0,100.0,55.555555556111116,1872.2,-0.9049773755656076,64.44444444424445,20.0,0.4,10403.8
2013-07-12,6615.0,6614.166666666667,6614.166666666667,6614.166666666667,6612.801612888614,50.833333333333336,64.70588235294117,2.8470481552694764,-0.02572467834414427,2.8727728336136207,6677.543844472772,6550.7894888605615,6614.166666666667,126.75435561221093,64.70588235358824,2263.6666666666665,-0.9049773755656076,64.70588235294117,25.0,0.5,9974.833333333334
2013-07-15,6620.0,6620.0,6620.0,6620.0,6616.820506899222,50.0,62.857142857142854,5.8308535413762,1.1455909655999248,4.685262575776275,6685.57438524302,6554.42561475698,6620.0,131.1487704860392,62.85714285777143,2200.714285714286,-0.9049773755656076,64.33613445378151,26.666666666666668,0.5714285714285714,9714.714285714286
2013-07-16,6639.0,6628.125,6628.125,6628.125,6623.31379195644,50.0,68.29268292682927,10.495306723750218,3.0155341172299837,7.479772606520235,6704.271006367467,6551.978993632533,6628.125,152.29201273493345,68.2926829275122,2071.625,-0.9049773755656076,66.85796269727403,28.333333333333332,0.625,9465.0
2013-07-18,6672.0,6640.0,6640.0,6640.0,6633.950573674874,51.111111111111114,74.50980392156862,18.018792188872794,6.016185731558545,12.002606457314249,6740.747208398049,6539.252791601951,6640.0,201.49441679609845,74.50980392231372,2104.3333333333335,-0.9049773755656076,70.77953132472501,30.0,0.6666666666666666,9231.555555555555
2013-07-19,6712.0,6658.5,6658.5,6658.5,6652.14575713441,56.5,81.15942028985506,30.887405676488925,10.990429720544622,19.896975955944303,6809.20574714397,6507.79425285603,6658.5,301.4114942879405,81.15942029066666,2103.2,-0.9049773755656076,75.8397271952259,31.666666666666664,0.7,9215.4
2013-07-22,6741.0,6678.0,6671.818181818182,6671.818181818182,6666.70330407399,58.18181818181818,76.71232876712328,39.02221788842235,16.596787354120167,22.42543053430218,6839.882022502175,6503.754341134189,6671.818181818182,336.12768136798513,76.71232876789041,2252.5454545454545,-0.9049773755656076,76.71232876712328,33.33333333333333,0.7272727272727273,9182.09090909091
2013-07-23,6777.0,6698.5,6685.416666666667,6685.416666666667,6682.731560828848,56.666666666666664,78.48101265822785,47.344111013003385,22.746252085896813,24.59785892710657,6871.303158587914,6499.53017474542,6685.416666666667,371.7729838424948,78.48101265901266,2314.4166666666665,-0.9049773755656076,78.12727588000693,37.77777777777778,0.75,9190.5
2013-07-24,6806.0,6722.5,6696.538461538462,6696.538461538462,6696.7571264641965,54.23076923076923,77.5,52.925718321286695,28.782145332974792,24.143572988311902,6891.747094176494,6501.32982890043,6696.538461538462,390.4172652760644,77.500000000775,2252.230769230769,-0.9049773755656076,78.08860759493672,42.22222222222223,0.7692307692307693,9190.846153846154
2013-07-25,6825.0,6748.5,6706.071428571428,6706.071428571428,6709.446923943798,53.214285714285715,77.5,56.695630391066516,34.36484234459314,22.330788046473373,6906.731055089284,6505.4118020535725,6706.071428571428,401.3192530357119,77.500000000775,2215.5,-0.9049773755656076,77.89240506329114,46.66666666666667,0.7857142857142857,9203.785714285714
2013-07-26,6823.0,6767.5,6713.333333333333,6713.333333333333,6719.499597853913,55.0,74.6987951807229,57.80657995695128,39.05318986706477,18.75339008988651,6914.709550778147,6511.957115888519,6713.333333333333,402.7524348896277,66.26506024184741,2158.4,-0.9049773755656076,77.69620253164557,51.111111111111114,0.8,9236.066666666668
2013-07-29,6807.0,6774.0,6714.0625,6714.0625,6720.02344567735,64.28571428571429,59.79381443298969,50.838730415044665,41.41029797666076,9.428432438383908,6908.697842799468,6519.427157200532,6714.0625,389.2706855989363,61.955437312936496,2361.625,-1.609363569861022,77.5,55.55555555555556,0.8125,9228.0
2013-07-30,6770.0,6773.5,6710.294117647059,6710.294117647059,6713.35454608903,66.78571428571429,55.769230769230774,38.81732430198281,40.89170324172517,-2.0743789397423598,6901.293809670216,6519.294425623901,6710.294117647059,381.99938404631575,54.78908188585609,2531.235294117647,-2.706656912948091,77.5,55.5982905982906,0.7647058823529411,9216.764705882353
