时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,STOCH_RSI,VOL_MA20,MAX_DRAWDOWN_20,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,MARKET_BREADTH,OI_MA20
2018-11-28,5184.0,5184.0,5184.0,5184.0,5184.0,172.0,0.0,0.0,0.0,0.0,5184.0,5184.0,5184.0,0.0,0.0,513604.0,0.0,0.0,0.0,0.0,50756.0
2018-11-29,5186.0,5186.0,5186.0,5186.0,5184.380952380952,172.0,99.999999995,0.3190883190882232,0.06381766381764464,0.2552706552705786,5191.656854249492,5180.343145750508,5186.0,11.313708498984852,100.0,503179.0,0.0,79.999999996,19.999999999,0.5,53086.0
2018-11-30,5173.333333333333,5173.333333333333,5173.333333333333,5173.333333333333,5180.916099773243,150.0,9.090909090909093,-2.6254332351190897,-0.4740325159697022,-2.1514007191493874,5217.393897711621,5129.272768955045,5173.333333333333,88.12112875657658,9.09090909136364,485037.0,-0.771010023130303,63.63636363336364,3.6363636363636376,0.3333333333333333,57863.666666666664
2018-12-03,5124.5,5124.5,5124.5,5124.5,5161.590756937696,185.5,1.8691588785046633,-18.463728660950437,-4.0719717449658495,-14.391756915984587,5323.1185624087875,4925.8814375912125,5124.5,397.237124817575,1.8691588785981212,540727.25,-4.047802621434082,45.45454545254549,1.121495327102798,0.25,69389.5
2018-12-04,5111.2,5111.2,5111.2,5111.2,5151.724970562677,175.6,28.57142857142857,-24.280470334626443,-8.113671462897969,-16.166798871728474,5293.202197788927,4929.1978022110725,5111.2,364.00439557785467,28.57142857285714,545541.8,-4.047802621434082,42.85714285614287,1.4953271028037307,0.2,74312.8
2018-12-05,5102.4,5116.0,5116.0,5116.0,5150.608306699565,166.0,44.14893617021277,-22.019735516741093,-10.894884273666595,-11.124851243074499,5280.477354064321,4951.522645935679,5116.0,328.95470812864187,44.14893617242022,579144.6666666666,-4.047802621434082,44.14893617021277,1.8691588785046633,0.3333333333333333,75801.66666666667
2018-12-06,5091.2,5118.285714285715,5118.285714285715,5118.285714285715,5148.836087013892,161.71428571428572,43.22916666666667,-20.635744015356977,-12.84305622200467,-7.792687793352307,5268.918664579751,4967.6527639916785,5118.285714285715,301.2659005880723,43.22916666882813,612264.4285714285,-4.047802621434082,43.96498226950355,3.3135089209855506,0.42857142857142855,77298.42857142857
2018-12-07,5089.2,5120.75,5120.75,5120.75,5147.804078726855,156.75,44.10256410256411,-18.837622536889285,-14.041969484981593,-4.795653051907692,5260.903996936023,4980.596003063977,5120.75,280.3079938720457,44.10256410476924,616671.5,-4.047802621434082,44.13038734315331,4.757858963466436,0.5,78604.375
2018-12-10,5126.8,5125.777777777777,5125.777777777777,5125.777777777777,5149.537023610012,149.11111111111111,47.84688995215311,-14.980545908041677,-14.22968476959361,-0.7508611384480659,5260.305759171158,4991.249796384397,5125.777777777777,269.0559627867606,47.84688995454546,608942.0,-4.047802621434082,45.62811768298891,6.2022090059473225,0.5555555555555556,79586.77777777778
2018-12-11,5134.0,5122.6,5122.6,5122.6,5144.247783266201,146.6,40.816326530612244,-17.53149104603108,-14.890046024881105,-2.6414450211499734,5251.016682889897,4994.183317110103,5122.6,256.8333657797939,40.816326532653065,599153.4,-4.047802621434082,44.88852692660084,7.646559048428208,0.5,80574.4
2018-12-12,5133.6,5118.0,5124.0,5124.0,5143.652756288467,138.54545454545453,45.69288389513108,-15.820334204900064,-15.076103660884897,-0.7442305440151671,5246.18019479441,5001.81980520559,5124.0,244.3603895888209,45.692883897415726,571898.7272727273,-4.047802621434082,45.69288389513108,9.090909090909093,0.5454545454545454,80557.09090909091
2018-12-13,5132.4,5111.8,5124.166666666667,5124.166666666667,5141.971541403851,132.33333333333334,44.688644688644686,-15.256660506521257,-15.11221503001217,-0.14444547650908746,5240.666634152682,5007.666699180652,5124.166666666667,232.99993497202922,44.68864469087912,552987.8333333334,-4.047802621434082,45.4920360538338,12.987012987012992,0.5833333333333334,80040.5
