时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,STOCH_RSI,VOL_MA20,MAX_DRAWDOWN_20,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,MARKET_BREADTH,OI_MA20
2021-02-01,10504.0,10504.0,10504.0,10504.0,10504.0,764.0,0.0,0.0,0.0,0.0,10504.0,10504.0,10504.0,0.0,0.0,521558.0,0.0,0.0,0.0,0.0,45054.0
2021-02-02,10459.0,10459.0,10459.0,10459.0,10495.42857142857,583.0,0.0,-7.179487179486387,-1.4358974358972774,-5.7435897435891095,10586.279220613578,10331.720779386422,10459.0,254.55844122715644,0.0,543955.5,-0.8568164508758525,0.0,0.0,0.0,44823.0
2021-02-03,10407.333333333334,10407.333333333334,10407.333333333334,10407.333333333334,10477.197278911564,485.3333333333333,0.0,-21.49755277960321,-5.448228504638465,-16.049324274964746,10607.66638935089,10207.000277315778,10407.333333333334,400.66611203511275,0.0,484516.6666666667,-1.904036557501898,0.0,0.0,0.0,42925.0
2021-02-04,10381.0,10381.0,10381.0,10381.0,10460.51182377713,410.0,0.0,-32.629968246596036,-10.884576453029979,-21.745391793566057,10575.552477924766,10186.447522075234,10381.0,389.1049558495324,0.0,404232.75,-1.9230769230769273,0.0,0.0,0.0,40714.0
2021-02-05,10362.4,10362.4,10362.4,10362.4,10444.082126274545,354.8,0.0,-42.096903803394525,-17.127041923102887,-24.96986188029164,10550.302102170252,10174.497897829748,10362.4,375.80420434050393,0.0,343831.4,-2.0563594821020548,0.0,0.0,0.0,38018.6
2021-02-08,10330.8,10359.666666666666,10359.666666666666,10359.666666666666,10434.740971391255,326.0,21.16788321167884,-44.40750113360809,-22.58313376520393,-21.824367368404165,10528.264017377365,10191.069315955967,10359.666666666666,337.19470142139835,100.0,301918.0,-2.0563594821020548,0.0,0.0,0.0,35991.666666666664
2021-02-09,10323.2,10362.0,10362.0,10362.0,10429.146593163518,293.42857142857144,28.94736842105263,-43.31856740504918,-26.73022049317298,-16.5883469118762,10516.40207252495,10207.59792747505,10362.0,308.8041450499004,100.0,268488.71428571426,-2.0563594821020548,16.93430656934309,0.0,0.14285714285714285,33893.857142857145
2021-02-10,10333.2,10361.0,10361.0,10361.0,10421.989774766993,273.5,26.993865030674854,-43.72674106609156,-30.1295246077567,-13.597216458334863,10504.060426793316,10217.939573206684,10361.0,286.1208535866317,93.25153374233132,240325.375,-2.0563594821020548,24.663472303076453,0.0,0.125,31944.25
2021-02-18,10352.8,10365.333333333334,10365.333333333334,10365.333333333334,10419.895510503471,259.1111111111111,36.02150537634409,-39.87870913595543,-32.07936151339645,-7.799347622558983,10501.65647883695,10229.010187829717,10365.333333333334,272.64629100723323,100.0,216901.77777777778,-2.0563594821020548,27.775266386825965,0.0,0.2222222222222222,30420.555555555555
2021-02-19,10368.8,10365.6,10365.6,10365.6,10414.953080931711,253.8,33.16831683168317,-38.962117633585876,-33.45591273743433,-5.506204896151544,10494.137759259898,10237.062240740102,10365.6,257.0755185197959,92.07920792079207,197880.3,-2.0563594821020548,29.79155810317874,0.0,0.3,29183.2
2021-02-22,10429.6,10380.2,10391.454545454546,10391.454545454546,10437.338501795357,263.8181818181818,60.64139941690962,-15.30425115584876,-29.82558042111722,14.52132926526846,10601.887173412026,10181.021917497066,10391.454545454546,420.86525591495956,100.00000000000001,185020.9090909091,-2.0563594821020548,33.16831683168317,0.0,0.36363636363636365,28463.81818181818
2021-02-23,10494.8,10409.0,10417.333333333334,10417.333333333334,10462.544358767227,279.0,63.41463414634146,7.553669886889111,-22.349730359515956,29.903400246405067,10686.410319050106,10148.256347616561,10417.333333333334,538.1539714335449,100.0,177203.91666666666,-2.0563594821020548,35.450867667411906,0.0,0.4166666666666667,27897.166666666668
2021-02-24,10566.0,10449.6,10439.846153846154,10439.846153846154,10486.111562694157,275.53846153846155,63.806970509383376,26.014392414541362,-12.676905804704493,38.69129821924585,10744.35214300876,10135.340164683548,10439.846153846154,609.0119783252121,100.0,166819.15384615384,-2.0563594821020548,50.79344180068344,0.0,0.46153846153846156,27358.69230769231
2021-02-25,10658.4,10505.6,10470.0,10470.0,10521.910461485191,270.85714285714283,69.93318485523386,52.30681727336196,0.31983881090879684,51.98697846245316,10839.471972497966,10100.528027502034,10470.0,738.9439449959318,100.0,157540.2142857143,-2.0563594821020548,61.75069330868236,0.0,0.5,26964.428571428572
2021-02-26,10748.0,10558.4,10493.066666666668,10493.066666666668,10549.918988962792,231.14285714285714,66.52542372881356,68.64069068385288,13.984009185497614,54.65668149835527,10891.417170381077,10094.716162952258,10493.066666666668,796.7010074288191,95.12711864406779,148861.66666666666,-2.0563594821020548,63.49310141894985,0.0,0.5333333333333333,26457.466666666667
2021-03-01,10843.6,10636.6,10532.75,10532.75,10604.974323347287,236.14285714285714,80.61749571183533,105.54454374695706,32.29611609778951,73.24842764916755,11031.638097005063,10033.861902994937,10532.75,997.7761940101263,100.0,144048.0,-2.0563594821020548,63.806970509383376,0.0,0.5625,26171.3125
2021-03-02,10887.6,10691.2,10555.64705882353,10555.64705882353,10635.167244933258,242.57142857142858,74.48494453248811,116.82198368247191,49.201289614725994,67.62069406774592,11074.284186869947,10037.009930777112,10555.64705882353,1037.2742560928345,92.39302694136292,138368.70588235295,-2.0563594821020548,65.98173308492753,0.0,0.5882352941176471,25818.235294117647
2021-03-03,10926.0,10746.0,10574.888888888889,10574.888888888889,10660.579888272947,245.85714285714286,73.4375,122.73083851876072,63.90719939553294,58.82363912322778,11103.868767918611,10045.909009859166,10574.888888888889,1057.9597580594454,91.09375,132376.72222222222,-2.0563594821020548,68.57008040466575,0.0,0.6111111111111112,25453.055555555555
2021-03-04,10940.8,10799.6,10593.894736842105,10593.894736842105,10686.810375104094,249.28571428571428,74.92307692307692,128.67389186891342,76.86053789020905,51.81335397870437,11134.012376183282,10053.777097500928,10593.894736842105,1080.235278682354,90.42143665992201,126974.26315789473,-2.0563594821020548,71.33491091314032,0.0,0.631578947368421,25124.105263157893
2021-03-05,10934.8,10841.4,10603.5,10603.5,10696.257006046562,260.42857142857144,65.80459770114942,119.8979491447426,85.46802014111576,34.42992900362684,11136.185549585158,10070.814450414842,10603.5,1065.3710991703156,72.37617478987653,121698.9,-3.073328540618281,70.6340478841871,0.0,0.65,24702.85
2021-03-08,10921.2,10882.4,10631.3,10625.238095238095,10730.899195946891,290.14285714285717,70.90464547677261,133.51340200592313,95.07709651407723,38.4363054918459,11199.003814548247,10063.596185451752,10631.3,1135.407629096495,81.88699625205513,97440.75,-3.073328540618281,70.90464547677261,0.0,0.7,23400.3
2021-03-09,10899.2,10893.4,10651.2,10633.727272727272,10738.623082047188,299.7142857142857,62.29860365198711,122.8757835694596,100.6368339251537,22.238949644305904,11214.718869062495,10087.681130937506,10651.2,1127.0377381249891,61.39260469371166,70136.2,-3.073328540618281,70.71035335246486,4.233576642335772,0.75,22006.6
2021-03-10,10898.4,10912.2,10680.9,10645.217391304348,10753.801836137933,304.2857142857143,63.09148264984227,120.00157216118168,104.5097815723593,15.491790588822383,11229.793585698588,10132.006414301411,10680.9,1097.7871713971763,63.06361147732287,52931.75,-3.073328540618281,70.51606122815711,8.467153284671545,0.8,20896.95
2021-03-11,10880.0,10910.4,10708.0,10653.5,10762.39213745813,302.2857142857143,62.370062370062364,112.07446553462796,106.02271836481303,6.051747169814931,11231.037283565905,10184.962716434095,10708.0,1046.074567131811,8.653657489585962,45658.55,-3.073328540618281,70.32176910384936,12.700729927007316,0.85,20012.55
2021-03-12,10893.2,10914.0,10736.2,10661.44,10770.926219604975,287.14285714285717,56.12121212121212,105.22474421143124,105.86312353413668,-0.6383793227054326,11223.486622668406,10248.913377331595,10736.2,974.5732453368109,0.0,41084.85,-3.073328540618281,70.12747697954161,16.93430656934309,0.9,19447.65
2021-03-15,10854.8,10888.0,10762.3,10669.384615384615,10780.171341547357,261.7142857142857,55.14250309789343,99.93536432332803,104.67757169197495,-4.742207368646916,11216.374002779285,10308.225997220714,10762.3,908.1480055585707,0.0,37007.75,-3.073328540618281,69.93318485523386,21.16788321167884,0.95,18945.3
2021-03-16,10847.2,10873.2,10782.2,10673.25925925926,10779.583594733323,257.42857142857144,51.88235294117647,87.15382322212463,101.17282199800489,-14.018998775880263,11198.286833042794,10366.113166957208,10782.2,832.1736660855859,0.0,34396.85,-3.181164629762756,69.25163262994981,22.333079575478045,0.9,18656.9
2021-03-17,10808.0,10853.2,10799.6,10674.285714285714,10772.194680949198,252.71428571428572,45.06172839506173,70.40299958759897,95.01885751592371,-24.615857928324743,11166.48756344489,10432.71243655511,10799.6,733.775126889781,0.0,32700.4,-3.8281811646297514,68.57008040466575,23.49827593927725,0.9,18489.45
2021-03-18,10758.4,10819.2,10809.4,10671.586206896553,10755.414235144513,248.0,43.45238095238095,48.020981075218515,85.61928222778268,-37.59830115256416,11140.023907818319,10478.77609218168,10809.4,661.2478156366378,0.0,31915.5,-4.78073328540618,67.8885281793817,24.663472303076453,0.85,18290.0
2021-03-19,10681.6,10787.4,10814.4,10664.8,10728.041450845038,227.57142857142858,27.941176470588232,19.72713772705538,72.44085332763723,-52.71371560058185,11118.910927986437,10509.889072013562,10814.4,609.0218559728746,0.0,31212.1,-5.930984902947523,67.20697595409763,25.828668666875657,0.8,18007.35
2021-03-22,10604.0,10729.4,10805.9,10658.838709677419,10704.418455526464,210.85714285714286,33.026113671274956,-1.7079490867727145,57.61109284475524,-59.319041931527956,11137.976021733773,10473.823978266226,10805.9,664.1520434675476,10.823183293381161,28815.9,-5.930984902947523,66.52542372881356,26.993865030674854,0.75,17557.05
2021-03-23,10563.2,10705.2,10799.3,10656.0625,10691.616697857276,205.71428571428572,37.90087463556851,-11.302869535364152,43.82830036873136,-55.131169904095515,11145.036802845903,10453.563197154095,10799.3,691.4736056918082,21.199010829824157,24736.5,-5.930984902947523,66.38125852328074,27.18332731865753,0.7,17070.3
2021-03-24,10531.6,10669.8,10791.0,10652.666666666666,10677.557964728014,200.71428571428572,35.630498533724335,-20.765523795251283,30.909535535934836,-51.67505933118612,11153.335116766382,10428.664883233618,10791.0,724.6702335327645,17.897349168963203,22897.95,-5.930984902947523,66.2370933177479,27.372789606640204,0.65,16589.25
2021-03-25,10540.8,10649.6,10780.0,10652.35294117647,10674.171491896774,187.14285714285714,44.51219512195122,-20.124976291799612,20.702633170387948,-40.82760946218756,11146.592273154856,10413.407726845144,10780.0,733.1845463097125,38.570020146598665,21524.3,-5.930984902947523,66.09292811221508,27.562251894622882,0.6,16032.65
2021-03-26,10549.2,10615.4,10764.7,10648.285714285714,10658.53611171613,163.28571428571428,26.4957264957265,-29.923692905427743,10.577367955224812,-40.50106086065256,11150.02944209776,10379.37055790224,10764.7,770.6588841955199,0.0,20607.6,-5.930984902947523,65.94876290668225,26.894237323685182,0.55,15565.35
2021-03-29,10524.4,10564.2,10726.1,10640.166666666666,10629.723148695546,157.0,28.810408921933075,-49.5446396208863,-1.4470335599974113,-48.09760606088889,11112.860853622416,10339.339146377584,10726.1,773.5217072448322,6.325002321194697,17513.45,-6.365280289330933,65.80459770114942,26.993865030674854,0.5,15008.2
2021-03-30,10494.8,10529.0,10701.1,10634.27027027027,10609.939991676923,147.85714285714286,27.462121212121218,-59.087607678629865,-12.975148383723901,-46.11245929490596,11099.021917757218,10303.178082242783,10701.1,795.8438355144353,2.693833050400986,15469.95,-6.365280289330933,65.40507226279621,27.087516266964126,0.45,14512.55
2021-03-31,10466.0,10498.8,10676.0,10628.105263157895,10589.945706755312,143.42857142857142,28.3203125,-67.64591475887028,-23.90930165875318,-43.7366131001171,11083.772898611604,10268.227101388396,10676.0,815.545797223207,6.158839140526631,14270.1,-6.365280289330933,65.005546824443,27.1811675032534,0.4,14034.6
2021-04-01,10440.8,10490.8,10655.0,10625.23076923077,10582.903258492901,145.0,35.15901060070671,-64.32668623474092,-31.99277857395073,-32.33390766079019,11049.436039775383,10260.563960224617,10655.0,788.8720795507652,30.24174141925933,13330.55,-6.365280289330933,64.6060213860898,27.274818739542674,0.35,13543.9
2021-04-02,10440.8,10495.0,10641.2,10622.35,10575.960091017387,143.28571428571428,34.046345811051694,-61.471715895499074,-37.8885660382604,-23.583149857238674,11035.65077072598,10246.74922927402,10641.2,788.9015414519599,29.742507660676146,12469.95,-6.365280289330933,64.20649594773658,27.368469975831946,0.3,13166.75
2021-04-06,10471.2,10497.8,10613.6,10619.560975609756,10569.487701396683,143.71428571428572,37.0873786407767,-58.693927556827475,-42.04963834197382,-16.644289214853657,10958.845237018868,10268.354762981133,10613.6,690.4904740377351,57.04864301144686,10830.75,-6.365280289330933,63.806970509383376,27.462121212121218,0.25,12676.0
2021-04-07,10504.4,10499.6,10602.4,10618.809523809523,10571.250777454143,150.71428571428572,44.50867052023121,-49.466954612777045,-43.533101596134465,-5.93385301664258,10934.841304672924,10269.958695327075,10602.4,664.8826093458483,99.98043677818815,10618.0,-6.365280289330933,63.728503236775,27.55793226381462,0.2,12333.4
2021-04-08,10539.6,10502.8,10586.3,10617.813953488372,10571.703084363273,146.42857142857142,48.940677966101696,-42.63138373509537,-43.35275802392665,0.721374288831278,10888.255102971501,10284.344897028497,10586.3,603.9102059430043,100.0,9776.25,-6.365280289330933,63.65003596416661,27.653743315508024,0.15,11974.45
2021-04-09,10522.8,10481.8,10565.7,10613.59090909091,10558.398028709627,147.71428571428572,48.125,-48.27723123850956,-44.337652666843226,-3.939578571666331,10849.286875206662,10282.113124793339,10565.7,567.1737504133234,96.36587333602257,9239.05,-6.365280289330933,63.57156869155823,27.749554367201426,0.1,11613.35
2021-04-12,10496.0,10468.4,10541.9,10608.31111111111,10541.026787880139,143.42857142857142,44.820717131474105,-56.61768462450709,-46.793659058376,-9.824025566131091,10803.350126068164,10280.449873931835,10541.9,522.9002521363291,81.64415351904202,9044.65,-6.365280289330933,63.49310141894985,27.84536541889483,0.05,11297.15
2021-04-13,10462.4,10466.8,10515.5,10602.478260869566,10521.881379510602,140.85714285714286,37.89473684210526,-65.3788069682414,-50.51068864034909,-14.868118327892319,10742.691085814766,10288.308914185234,10515.5,454.3821716295315,50.78652257913842,8901.75,-6.365280289330933,63.41463414634146,27.941176470588232,0.0,11020.55
