date,receipt,change
2025-06-03,5025,0
2025-06-04,4128,-897
2025-06-05,6012,1884
2025-06-06,6012,0
2025-06-09,6234,222
2025-06-10,9225,2991
2025-06-11,9225,0
2025-06-12,15399,6174
2025-06-13,26916,11517
2025-06-16,29898,2982
2025-06-17,29364,-534
2025-06-18,29067,-297
2025-06-19,25785,-3282
2025-06-20,26229,444
2025-06-23,23157,-3072
2025-06-24,22413,-744
2025-06-25,21507,-906
2025-06-26,19419,-2088
2025-06-27,19116,-303
2025-06-30,21231,2115
2025-07-01,20472,-759
2025-07-02,19872,-600
2025-07-03,19797,-75
2025-07-04,21738,1941
2025-07-07,24213,2475
2025-07-08,23847,-366
2025-07-09,26850,3003
2025-07-10,26772,-78
2025-07-11,26619,-153
2025-07-14,27513,894
2025-07-15,33552,6039
2025-07-16,36483,2931
2025-07-17,34689,-1794
2025-07-18,34083,-606
2025-07-21,33264,-819
2025-07-22,36270,3006
2025-07-23,36270,0
2025-07-24,35820,-450
2025-07-25,39867,4047
2025-07-28,41301,1434
2025-07-29,45921,4620
2025-07-30,45696,-225
2025-07-31,45174,-522
2025-08-01,44946,-228
2025-08-04,44721,-225
2025-08-05,44421,-300
2025-08-06,43125,-1296
2025-08-07,41466,-1659
2025-08-08,43038,1572
2025-08-11,46482,3444
2025-08-12,47304,822
2025-08-13,48576,1272
2025-08-14,51291,2715
2025-08-15,60060,8769
2025-08-18,97614,37554
2025-08-19,97614,0
2025-08-20,96864,-750
2025-08-21,96864,0
2025-08-22,98373,1509
2025-08-25,105582,7209
2025-08-26,109098,3516
2025-08-27,108639,-459
2025-08-28,108111,-528
2025-08-29,113871,5760
2025-09-01,113871,0
2025-09-02,116865,2994
2025-09-03,122841,5976
2025-09-04,122688,-153
2025-09-05,122316,-372
2025-09-08,128121,5805
2025-09-09,128043,-78
2025-09-10,132987,4944
2025-09-11,134775,1788
2025-09-12,137715,2940
2025-09-15,154113,16398
2025-09-16,156510,2397
2025-09-17,158160,1650
2025-09-18,162723,4563
2025-09-19,157593,-5130
