排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol,持仓量
16,浙商期货,7126.0,-8835.0,2025-08-21,y2601,成交量,Y,
17,宏源期货,6449.0,-3725.0,2025-08-21,y2601,成交量,Y,
18,一德期货,6428.0,-10006.0,2025-08-21,y2601,成交量,Y,
19,中信建投,6083.0,-5412.0,2025-08-21,y2601,成交量,Y,
20,申银万国,6023.0,-1526.0,2025-08-21,y2601,成交量,Y,
1,国泰君安,,-5424.0,20250822,y2601,成交量,Y,81696.0
2,中信期货,,-7747.0,20250822,y2601,成交量,Y,72055.0
3,东证期货,,-8945.0,20250822,y2601,成交量,Y,66965.0
4,广发期货,,-3413.0,20250822,y2601,成交量,Y,43987.0
5,海通期货,,-4164.0,20250822,y2601,成交量,Y,30921.0
6,光大期货,,-1219.0,20250822,y2601,成交量,Y,30631.0
7,国联期货,,-756.0,20250822,y2601,成交量,Y,26266.0
8,华闻期货,,10457.0,20250822,y2601,成交量,Y,25321.0
9,华泰期货,,-1114.0,20250822,y2601,成交量,Y,22310.0
10,中粮期货,,702.0,20250822,y2601,成交量,Y,19790.0
11,中辉期货,,1096.0,20250822,y2601,成交量,Y,14908.0
12,国信期货,,4920.0,20250822,y2601,成交量,Y,14398.0
13,银河期货,,1140.0,20250822,y2601,成交量,Y,13095.0
14,徽商期货,,26.0,20250822,y2601,成交量,Y,13094.0
15,浙商期货,,5797.0,20250822,y2601,成交量,Y,12923.0
16,国投期货,,311.0,20250822,y2601,成交量,Y,11043.0
17,弘业期货,,2668.0,20250822,y2601,成交量,Y,8631.0
18,一德期货,,1845.0,20250822,y2601,成交量,Y,8273.0
19,中信建投,,1652.0,20250822,y2601,成交量,Y,7735.0
20,方正中期,,1944.0,20250822,y2601,成交量,Y,7614.0
1,国泰君安,,12713.0,20250825,y2601,成交量,Y,94409.0
2,东证期货,,21933.0,20250825,y2601,成交量,Y,88898.0
3,中信期货,,6651.0,20250825,y2601,成交量,Y,78706.0
4,广发期货,,6513.0,20250825,y2601,成交量,Y,50500.0
5,海通期货,,4707.0,20250825,y2601,成交量,Y,35628.0
6,光大期货,,2651.0,20250825,y2601,成交量,Y,33282.0
7,国联期货,,-274.0,20250825,y2601,成交量,Y,25992.0
8,华泰期货,,2629.0,20250825,y2601,成交量,Y,24939.0
9,中粮期货,,-1764.0,20250825,y2601,成交量,Y,18026.0
10,弘业期货,,7714.0,20250825,y2601,成交量,Y,16345.0
11,中辉期货,,1275.0,20250825,y2601,成交量,Y,16183.0
12,银河期货,,2693.0,20250825,y2601,成交量,Y,15788.0
13,国投期货,,4698.0,20250825,y2601,成交量,Y,15741.0
14,国信期货,,1269.0,20250825,y2601,成交量,Y,15667.0
15,华闻期货,,-10002.0,20250825,y2601,成交量,Y,15319.0
16,徽商期货,,1790.0,20250825,y2601,成交量,Y,14884.0
17,宏源期货,,5238.0,20250825,y2601,成交量,Y,12122.0
18,一德期货,,2843.0,20250825,y2601,成交量,Y,11116.0
19,浙商期货,,-2856.0,20250825,y2601,成交量,Y,10067.0
20,方正中期,,854.0,20250825,y2601,成交量,Y,8468.0
1,国泰君安,,-15890.0,20250826,y2601,成交量,Y,78519.0
2,东证期货,,-12483.0,20250826,y2601,成交量,Y,76415.0
3,中信期货,,-10923.0,20250826,y2601,成交量,Y,67783.0
4,广发期货,,-7953.0,20250826,y2601,成交量,Y,42547.0
5,海通期货,,-6336.0,20250826,y2601,成交量,Y,29292.0
6,光大期货,,-4732.0,20250826,y2601,成交量,Y,28550.0
7,国联期货,,-2667.0,20250826,y2601,成交量,Y,23325.0
8,一德期货,,11808.0,20250826,y2601,成交量,Y,22924.0
9,华泰期货,,-5646.0,20250826,y2601,成交量,Y,19293.0
10,国投期货,,1698.0,20250826,y2601,成交量,Y,17439.0
11,银河期货,,336.0,20250826,y2601,成交量,Y,16124.0
12,中粮期货,,-2325.0,20250826,y2601,成交量,Y,15701.0
13,华闻期货,,-770.0,20250826,y2601,成交量,Y,14549.0
14,徽商期货,,-2114.0,20250826,y2601,成交量,Y,12770.0
15,宏源期货,,152.0,20250826,y2601,成交量,Y,12274.0
16,中泰期货,,2978.0,20250826,y2601,成交量,Y,11075.0
17,浙商期货,,-1197.0,20250826,y2601,成交量,Y,8870.0
18,南华期货,,1060.0,20250826,y2601,成交量,Y,8488.0
19,弘业期货,,-8376.0,20250826,y2601,成交量,Y,7969.0
20,中信建投,,-362.0,20250826,y2601,成交量,Y,7574.0
1,东证期货,74108.0,-2307.0,20250827,Y2601,成交量,Y,
2,中信期货,62132.0,-5651.0,20250827,Y2601,成交量,Y,
3,国泰君安,48029.0,-30490.0,20250827,Y2601,成交量,Y,
4,广发期货,39030.0,-3517.0,20250827,Y2601,成交量,Y,
5,光大期货,35742.0,7192.0,20250827,Y2601,成交量,Y,
6,海通期货,23056.0,-6236.0,20250827,Y2601,成交量,Y,
7,国联期货,22978.0,-347.0,20250827,Y2601,成交量,Y,
8,华泰期货,20628.0,1335.0,20250827,Y2601,成交量,Y,
9,国投期货,18462.0,1023.0,20250827,Y2601,成交量,Y,
