时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-12-26,44000,44000,41010,41570,301655,31271,41570.0,41570.0,41570.0,41570.0,0.0,0.0,0.0,0.0,2990.0,0.0,301655.0,0,31271.0,0.0,0.0
2024-12-27,41600,42160,41225,41950,172813,32846,41760.0,41760.0,41760.0,41760.0,30.313390313385757,6.062678062677151,24.2507122507086,99.99999999994736,1962.5,-35.35533905932738,237234.0,172813,32058.5,1575.0,5.036615394454924
2024-12-30,41900,43010,41750,42535,136506,35565,42018.333333333336,42018.333333333336,42018.333333333336,42018.333333333336,100.38441246419096,24.92702494297992,75.45738752121106,99.9999999999689,1728.3333333333333,44.94871571776152,203658.0,309319,33227.333333333336,2719.0,8.278024721427268
2024-12-31,42570,42705,42230,42465,74312,31540,42130.0,42130.0,42130.0,42130.0,148.5553339502585,49.65268674443564,98.90264720582286,93.23671497584542,1415.0,39.304922900257566,171321.5,235007,32805.5,-4025.0,-11.317306340503308
2025-01-02,42315,42680,42315,42570,36858,30447,42218.0,42218.0,42218.0,42218.0,192.9792144997482,78.31799229549816,114.66122220425004,93.859649122807,1205.0,39.7141096695407,144428.8,271865,32333.8,-1093.0,-3.4654407102092555
2025-01-03,42570,42780,42365,42560,37079,29242,42416.0,42275.0,42275.0,42275.0,224.78733499292863,107.61186083498428,117.1754741579444,93.04347826086956,1073.3333333333333,40.48068978127496,126537.16666666669,234786,31818.5,-1205.0,-3.957696981640224
2025-01-06,42600,43600,42560,43325,68310,31663,42691.0,42425.0,42425.0,42425.0,308.1721891115958,147.72392649030658,160.44826262128922,95.822454308094,1068.571428571429,85.82580426253959,118219.0,303096,31796.285714285717,2421.0,8.279187470077275
2025-01-07,43325,43450,42765,43185,39615,30357,42821.0,42520.0,42520.0,42520.0,358.8221780750973,189.94357680726472,168.8786012678326,89.29440389294405,1020.625,65.92672615540633,108393.5,263481,31616.375,-1306.0,-4.124688121782527
2025-01-08,43185,43390,42650,42700,30253,28183,42868.0,42540.0,42540.0,42540.0,355.7266175413752,223.10018495408684,132.62643258728832,72.24409448818898,989.4444444444443,38.07784475731139,99711.22222222222,233228,31234.88888888889,-2174.0,-7.161445465625715
2025-01-09,43000,43000,42165,42575,36908,27681,42869.0,42543.5,42543.5,42543.5,339.27594626804785,246.33533721687903,92.9406090511688,68.85553470919325,974.0,0.615404146199743,93430.9,196320,30879.5,-502.0,-1.781215626441468
2025-01-10,42660,43480,42435,43070,33598,26973,42971.0,42693.5,42591.36363636364,42591.36363636364,362.0080306405798,269.4698759016192,92.5381547389606,73.73417721518987,980.4545454545456,45.70093720537788,87991.54545454546,229918,30524.36363636364,-708.0,-2.5577110653516866
2025-01-13,43270,43480,42865,43385,22370,26759,42983.0,42837.0,42657.5,42657.5,400.8208257399747,295.74006586929033,105.08075987068436,76.11510791366906,950.0,65.95157429845082,82523.08333333333,252288,30210.58333333333,-214.0,-0.7933859785711594
2025-01-14,43305,43850,43120,43650,34850,28130,43076.0,42948.5,42733.84615384616,42733.84615384616,447.8015532310601,326.15236334164433,121.64918988941577,77.80748663101605,933.0769230769232,83.30703891984545,78855.92307692308,287138,30050.53846153846,1371.0,5.12350984715424
2025-01-15,43550,44640,43550,44225,79215,30974,43381.0,43124.5,42840.357142857145,42840.357142857145,525.3756097755759,365.9970126284306,159.37859714714523,80.76477404403244,944.2857142857144,109.1009756597205,78881.57142857143,366353,30116.5,2844.0,10.11020263064344
2025-01-16,44235,44445,43800,44130,29190,29862,43692.0,43280.5,42926.333333333336,42926.333333333336,572.587470489656,407.3151042006757,165.2723662889803,79.02494331065759,776.7857142857143,90.5267056906786,75568.8,337163,30099.533333333333,-1112.0,-3.590107832375544
2025-01-17,44130,45190,44015,44940,63067,33745,44066.0,43518.5,43052.1875,43052.1875,667.666991328435,459.3854816262276,208.28150970220736,80.88842975206612,793.9285714285714,107.29634475626108,74787.4375,400230,30327.375,3883.0,13.003147813274383
2025-01-20,44505,45060,44505,44705,22940,31434,44330.0,43656.5,43149.41176470588,43149.41176470588,715.8043140217342,510.66924810532896,205.1350659164052,74.16481069042317,743.5714285714286,93.61517267338644,71737.58823529411,377290,30392.470588235294,-2311.0,-6.848421988442732
2025-01-21,44780,44850,43940,44265,33834,27276,44453.0,43764.5,43211.38888888889,43211.38888888889,710.2617114136738,550.587740766998,159.6739706466758,68.51851851851852,774.6428571428571,64.73351336359859,69631.83333333333,343456,30219.33333333333,-4158.0,-13.227715212826874
