date,value,change,增减
2026-06-11,7779,99.0,99.0
2026-06-12,7779,0.0,0.0
2026-06-15,7279,-500.0,-500.0
2026-06-16,7279,0.0,0.0
2026-06-17,6981,-298.0,-298.0
2026-06-18,6831,-150.0,-150.0
2026-06-22,6132,-699.0,-699.0
2026-06-23,6132,0.0,0.0
2026-06-24,6123,-9.0,-9.0
2026-06-25,6123,0.0,0.0
2026-06-26,5608,-515.0,-515.0
