时间,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,WILLIAMS_R14,KDJ_K,KDJ_D,KDJ_J,CCI20,PLUS_DI14,MINUS_DI14,ADX14,STOCH_RSI,PSAR,HHV20,LLV20,BREAKOUT_LONG20,BREAKOUT_SHORT20,VOL_MA20,OBV,VWAP20,BUY_PRESSURE,SELL_PRESSURE,PRICE_EFFICIENCY,LIQUIDITY_RATIO,DRAWDOWN_20,MAX_DRAWDOWN_20,SHARPE_RATIO_20,VAR_95_1D,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,PANIC_INDEX,MARKET_BREADTH,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,OI_CONCENTRATION,ROLLOVER_PRESSURE,MONEY_FLOW_DIRECTION,PRICE_OI_DIVERGENCE
2018-07-16,,,,2994.0,2994.0,2994.0,2994.0,2994.0,117.0,0.0,0.0,0.0,0.0,2994.0,2994.0,2994.0,0.0,-80.34188034188034,19.65811965811966,19.65811965811966,19.65811965811966,0.0,0.0,0.0,0.0,0.0,2994.0,2994.0,2994.0,0,0,26308.0,0,3017.6666666666665,0.19658119658119658,0.8034188034188035,0.0,224854.70085470087,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4629.0,0.0,0.0,,5.683300928926334,0.0,0.0
2018-07-17,,,,2931.5,2931.5,2931.5,2931.5,2982.095238095238,131.5,0.0,-9.971509971510386,-1.9943019943020772,-7.977207977208309,3108.2766952966367,2754.7233047033633,2931.5,353.55339059327343,-91.25,16.022079772079774,18.44610636277303,11.17402659069326,-35.355339059327385,0.0,46.7680608365019,50.0,0.0,3088.0,2994.0,2869.0,0,1,61131.0,-95954,2916.94774609718,0.20388349514563106,0.7961165048543689,1.2135922330097086,931592.2330097087,-4.175016700066802,-4.175016700066802,-11.224972160321824,-3.9662658650634626,0.0,0.0,0.0,0.0,9090.5,8923.0,192.7630157701447,0.6940777524368917,6.381865930814997,-0.5,0.0
2018-07-18,,,,2914.6666666666665,2914.6666666666665,2914.6666666666665,2914.6666666666665,2972.467120181406,108.0,8.759124087591246,-16.713046160339672,-4.9380508275095965,-11.774995332830077,3052.5990172351003,2776.7343160982327,2914.6666666666665,275.86470113686755,-86.25,15.264719848053183,17.385644191199745,11.022871161760058,-29.091579497740632,0.0,37.96296296296296,66.66666666666667,100.0,2848.0,2994.0,2869.0,0,0,89389.0,49951,2901.5605027215624,0.3114754098360656,0.6885245901639344,0.19672131147540983,2391885.245901639,-3.7742150968603894,-4.175016700066802,-7.826897423041807,-3.7575150300601226,5.255474452554749,0.0,0.0,0.0,11778.666666666666,3603.0,26.586481700118057,0.5474764533532562,7.089610805134801,0.0,0.0
2018-07-19,,,,2918.25,2918.25,2918.25,2918.25,2968.3273944498433,109.5,32.432432432432435,-17.975354614148273,-7.545511584837332,-10.429843029310941,3031.7797317886375,2804.7202682113625,2918.25,227.05946357727498,-66.25,21.42647989870212,18.73258942703387,26.814260842038614,1.9228253925124963,16.438356164383563,28.08219178082192,56.53846153846154,100.0,2848.0,2994.0,2869.0,0,0,93609.75,156223,2911.051186797671,0.42105263157894735,0.5789473684210527,0.42105263157894735,932210.5263157894,-2.1710086840347365,-4.175016700066802,-3.272142157384487,-3.548764195056782,18.22844742552773,0.0,0.0,0.25,12719.5,-1613.0,-9.402506557854851,0.4395884184837017,7.026640609320152,-0.125,0.0
2018-07-20,,,,2932.0,2932.0,2932.0,2932.0,2970.105737835572,108.6,48.559670781893004,-14.132714746173406,-8.862952217104548,-5.269762529068858,3047.965512114594,2816.034487885406,2932.0,231.93102422918764,-42.083333333333336,33.58987548802363,23.685018114030456,53.39959023600997,24.41135520276269,15.653775322283611,22.65193370165746,48.88461538461538,100.0,2848.0,2994.0,2869.0,0,0,117603.6,369802,2931.0096108169023,0.8,0.2,0.5523809523809524,2034085.714285714,-0.2338009352037429,-4.175016700066802,-0.14229324303440227,-3.340013360053442,35.657880102324555,0.0,0.0,0.4,15698.6,12073.0,77.6798352850341,0.5245973503981398,7.168145730258947,0.1,0.0
2018-07-23,,,,2930.6,2941.1666666666665,2941.1666666666665,2941.1666666666665,2971.714715184565,100.33333333333333,48.559670781893004,-10.961042886692667,-9.282570351022173,-1.678472535670494,3054.1935071368252,2828.139826196508,2941.1666666666665,226.05368094031746,-42.083333333333336,41.698805880904644,29.68961403632185,65.71718957007023,38.90020814627914,15.9468438538206,20.431893687707642,42.791974007727426,100.0,3088.0,2994.0,2869.0,0,0,126590.33333333333,369802,2944.030047932394,0.4576271186440678,0.5423728813559322,0.0,2907186.440677966,-0.2338009352037429,-4.175016700066802,-0.13257279217856563,-3.131262525050102,48.559670781893004,0.0,0.0,0.5,17835.0,902.0,3.266340756835051,0.5066255101961615,7.234445182584279,0.1,0.0
2018-07-24,,,,2969.2,2958.4285714285716,2958.4285714285716,2958.4285714285716,2980.313313738416,98.14285714285714,60.69182389937107,-2.368296639102482,-7.899715608638235,5.531418969535753,3096.229670325289,2820.627472531854,2958.4285714285716,275.60219779343515,-10.833333333333334,57.52142614282532,38.96688473848967,94.63050895149664,67.60329449362874,21.688500727802037,17.90393013100437,38.044381082253764,100.0,2848.0,3062.0,2869.0,1,0,137342.57142857142,571658,2964.669895298305,0.8734177215189873,0.12658227848101267,0.9493670886075949,2555139.240506329,0.0,-4.175016700066802,2.443270936737734,-2.9225116900467616,48.559670781893004,1.7518248175182507,0.0,0.5714285714285714,20427.714285714286,7467.0,26.184381246274157,0.5251717110276688,6.94027984975631,0.5,0.0
2018-07-25,,,,3016.2,2978.125,2978.125,2978.125,2993.2358552871383,105.25,66.3978494623656,8.698593402617007,-4.580053806387188,13.278647209004195,3147.508546173428,2808.741453826572,2978.125,338.76709234685586,-24.507042253521128,63.511936677376504,47.14856871811861,96.2386725958923,88.56457735161159,33.2541567695962,14.608076009501188,38.15856049411845,100.0,2848.0,3116.0,2869.0,1,0,173578.625,998889,3013.1772419655167,0.43870967741935485,0.5612903225806452,0.34838709677419355,2756329.0322580645,0.0,-4.175016700066802,3.8919437653812508,-2.7137608550434216,55.83896265237985,3.5036496350364996,0.0,0.625,26089.375,29737.0,82.63950644730991,0.722274673971155,6.539395159947548,0.5,0.0
2018-07-26,,,,3057.2,2995.4444444444443,2995.4444444444443,2995.4444444444443,3006.641964307411,100.0,67.94871794871794,18.706001915045817,0.07715733789941348,18.628844577146403,3184.9256073897654,2805.9632814991232,2995.4444444444443,378.9623258906422,-19.43661971830986,69.19575121214771,54.49762954946165,98.59199453751984,72.47628276578884,31.111111111111107,13.666666666666664,38.24736670334653,100.0,2848.0,3134.0,2869.0,1,0,199153.88888888888,1402645,3038.5919076165746,0.7068965517241379,0.29310344827586204,0.3103448275862069,6961310.344827586,0.0,-4.175016700066802,4.211244469710924,-2.5050100200400816,62.97423412456889,5.255474452554749,0.0,0.6666666666666666,30839.333333333332,3118.0,4.744297865218128,0.7349780828075653,6.344893505432125,0.8,0.0
2018-07-27,,,,3086.6,3009.3,3009.3,3009.3,3018.7713010400385,94.4,67.94871794871796,26.333390328885343,5.3284039360966,21.004986392788744,3208.2797309610546,2810.3202690389458,3009.3,397.95946192210886,-19.43661971830986,72.9849609019952,60.6600733336395,97.63473603870659,63.77190448460368,29.66101694915254,13.029661016949152,38.318411670729,100.0,3203.0,3134.0,2869.0,0,0,203371.4,1402645,3049.438773757438,0.6363636363636364,0.36363636363636365,0.0,5484750.0,0.0,-4.175016700066802,4.004209494823577,-2.296259185036741,66.70802315963607,7.0072992700729975,0.0,0.7,33821.9,-8174.0,-11.874083005273173,0.690639643540564,5.593672229991041,0.6,0.0
