date,symbol,close,volume,open_interest,roll_yield
20250526,AG2506,8263.0,78945.0,79337.0,0.0087103802517876
20250526,AG2507,8269.0,9113.0,17828.0,0.015952627885664
20250526,AG2508,8280.0,687113.0,371701.0,0.0144840090004234
20250526,AG2509,8290.0,17204.0,36874.0,0.0130206776292865
20250526,AG2510,8299.0,82919.0,122524.0,0.0202263471916821
20250526,AG2511,8313.0,2704.0,22756.0,0.0129846721415822
20250526,AG2512,8322.0,32248.0,138596.0,0.0259272697188708
20250526,AG2601,8340.0,1090.0,24033.0,0.0129426580944967
20250526,AG2602,8349.0,7080.0,53660.0,0.0186703406701191
20250526,AG2603,8362.0,1320.0,25328.0,0.0143420597925601
20250526,AG2604,8372.0,3636.0,32971.0,0.0243422313648517
20250526,AG2605,8389.0,2561.0,9370.0,0.0
20250527,AG2506,8201.0,50563.0,66630.0,0.0131619049207518
20250527,AG2507,8210.0,7593.0,17972.0,0.0102270658165686
20250527,AG2508,8217.0,627779.0,364419.0,0.0175118600942996
20250527,AG2509,8229.0,18590.0,37195.0,0.0131171446837581
20250527,AG2510,8238.0,87392.0,130107.0,0.021830095159899
20250527,AG2511,8253.0,2290.0,22754.0,0.0116264996378516
20250527,AG2512,8261.0,31424.0,140249.0,0.0246689729540696
20250527,AG2601,8278.0,1149.0,24036.0,0.0130395424843777
20250527,AG2602,8287.0,6672.0,54010.0,0.0217011331672994
20250527,AG2603,8302.0,900.0,25152.0,0.0158892590172495
20250527,AG2604,8313.0,4892.0,33166.0,0.0216333211646011
20250527,AG2605,8328.0,2654.0,9474.0,0.0
20250528,AG2506,8211.0,34469.0,57016.0,0.0058443931509549
20250528,AG2507,8215.0,7347.0,17592.0,0.0145985419464511
20250528,AG2508,8225.0,635600.0,350276.0,0.0189515923494398
20250528,AG2509,8238.0,16948.0,37334.0,0.0116476592498309
20250528,AG2510,8246.0,87046.0,134715.0,0.0232614562783749
20250528,AG2511,8262.0,2214.0,22785.0,0.0116138407323268
20250528,AG2512,8270.0,27959.0,141634.0,0.0246421539756657
20250528,AG2601,8287.0,1256.0,24052.0,0.0173640449928668
20250528,AG2602,8299.0,5940.0,54504.0,0.0130065647706603
20250528,AG2603,8308.0,1313.0,24998.0,0.0129924824722141
20250528,AG2604,8317.0,3507.0,33191.0,0.0273824654935283
20250528,AG2605,8336.0,2399.0,9545.0,0.0
20250529,AG2506,8210.0,32177.0,47410.0,0.0102270658165686
20250529,AG2507,8217.0,7170.0,17361.0,0.0102183571651025
20250529,AG2508,8224.0,659531.0,345595.0,0.0174969654328046
20250529,AG2509,8236.0,17874.0,37652.0,0.0145613414299833
20250529,AG2510,8246.0,94297.0,136670.0,0.0130901170485979
20250529,AG2511,8255.0,2291.0,22899.0,0.0203340644152594
20250529,AG2512,8269.0,31004.0,144441.0,0.0202996665131702
20250529,AG2601,8283.0,1116.0,24067.0,0.013031675488873
