时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-08-30,6550,6648,6454,6600,156347,21214,,,,6600.0,6600.0,6600.0,6600.0,6600.0,194.0,0.0,0.0,0.0,0.0,6600.0,6600.0,6600.0,0.0,75.25773195876289,75.25773195876289,75.25773195876289,-24.742268041237114,0.0,0.0,156347.0,0,21214.0,0.0,0.0
2024-09-02,6622,6624,6360,6376,159115,33748,,,,6488.0,6488.0,6488.0,6488.0,6578.666666666667,229.0,0.0,-17.868945868945957,-3.5737891737891916,-14.295156695156766,6804.783837971573,6171.216162028427,6488.0,633.5676759431462,52.023673157693786,67.51304569173985,21.044928089601655,-94.44444444444444,-35.35533905932738,0.0,157731.0,-159115,27481.0,12534.0,59.08362402187235
2024-09-03,6378,6444,6332,6386,130244,36159,,,,6454.0,6454.0,6454.0,6454.0,6560.31746031746,190.0,4.2735042735042725,-30.86747672502679,-9.032526684036712,-21.83495004099008,6707.0770633621305,6200.9229366378695,6454.0,506.154126724261,40.37865130344143,58.46824756230704,4.199458785710206,-82.9113924050633,-45.02505064651429,100.0,148568.66666666666,-28871,30373.666666666668,2411.0,7.1441270593813
2024-09-04,6338,6366,6238,6290,125894,39747,,,,6413.0,6413.0,6413.0,6413.0,6534.572940287227,179.5,3.030303030303031,-48.357864413123934,-16.897594229854157,-31.460270183269778,6676.808010997897,6149.191989002103,6413.0,527.6160219957947,31.14674314538372,49.361079423332605,-5.281929410514053,-87.3170731707317,-56.6419546356583,70.90909090909095,142900.0,-154765,32717.0,3588.0,9.922840786526166
2024-09-05,6290,6350,6216,6226,87080,38031,,,,6375.6,6375.6,6375.6,6375.6,6505.185041212252,170.4,2.538071065989854,-66.61548594182477,-26.841172572248283,-39.77431336957649,6658.745192436672,6092.454807563328,6375.6,566.290384873344,21.53610036852742,40.086086405064215,-15.563871704546173,-97.68518518518519,-53.194172974095586,59.3908629441626,131736.0,-241845,33779.8,-1716.0,-4.317306966563517
2024-09-06,6242,6298,6158,6220,159227,40265,,,,6299.6,6349.666666666667,6349.666666666667,6349.666666666667,6478.0245610967995,165.33333333333334,2.499999999999986,-80.63937191511741,-37.60081244082211,-43.0385594742953,6633.000156862702,6066.333176470632,6349.666666666667,566.6669803920704,18.575087320514882,32.915753376881106,-10.106244792217566,-87.34693877551021,-54.40461375730603,58.49999999999968,136317.83333333334,-401072,34860.666666666664,2234.0,5.874155294365124
2024-09-09,6228,6228,6040,6090,146204,50279,,,,6242.4,6312.571428571428,6312.571428571428,6312.571428571428,6441.0698409923425,168.57142857142858,1.8867924528301785,-101.07815013447635,-50.29627997955296,-50.78187015492338,6637.267916885992,5987.874940256865,6312.571428571428,649.3929766291276,15.124619617185362,26.985375456982528,-8.596892062408969,-91.77631578947368,-70.30455315357466,44.15094339622619,137730.14285714287,-547276,37063.28571428572,10014.0,24.870234695144667
2024-09-10,6080,6094,5914,5914,168541,53283,,,,6148.0,6262.75,6262.75,6262.75,6390.872713278786,170.0,1.416430594900845,-129.97943620224214,-66.2329112240908,-63.74652497815134,6674.813448651158,5850.686551348842,6262.75,824.1268973023161,10.083079744790242,21.351276886251767,-12.453314538132808,-100.0,-83.09506535637895,33.14447592067978,141581.5,-715817,39090.75,3004.0,5.974661389446889
2024-09-11,5912,6374,5736,6002,501473,63054,,,,6090.4,6233.777777777777,6233.777777777777,6233.777777777777,6353.837216776044,222.0,12.342569269521405,-144.1217037914921,-81.81066973757106,-62.31103405392105,6656.613180479322,5810.942375076233,6233.777777777777,845.6708054030896,16.444275385415715,19.715609719306418,9.901606717634309,-70.83333333333333,-56.91552864413693,100.0,181569.44444444444,-214344,41753.333333333336,9771.0,18.33793142278024
2024-09-12,6000,6076,5880,6048,360488,61361,,,,6054.8,6215.2,6215.2,6215.2,6324.709862797374,219.4,17.14285714285714,-149.88989972276795,-95.42651573461045,-54.4633839881575,6630.807507150676,5799.592492849323,6215.2,831.2150143013532,22.67456196865552,20.70192713575612,26.61983163445432,-65.78947368421052,-57.74228279865784,100.0,199461.3,146144,43714.1,-1693.0,-2.6850001585942196
2024-09-13,6086,6160,6012,6092,258605,49785,,,,6029.2,6164.4,6204.0,6204.0,6302.547018721433,212.9090909090909,21.266968325791865,-149.19102303390628,-106.17941719446962,-43.011605839436655,6605.218145152983,5802.781854847017,6204.0,802.4362903059664,31.87720327100575,24.42701918083933,46.77757145133859,-60.96491228070175,-33.73126239117229,99.99999999999999,204838.0,404749,44266.0,-11576.0,-18.865403106207523
2024-09-18,6118,6136,5932,5962,137773,52748,,,,6003.6,6123.0,6183.833333333333,6183.833333333333,6270.113969319392,212.16666666666666,18.5404339250493,-157.31365784424088,-116.40626532442388,-40.907392519816995,6591.096333758306,5776.57033290836,6183.833333333333,814.5260008499463,33.05920134472484,27.304413235467834,44.568777563238854,-75.21929824561404,-49.12002456403476,87.17948717948708,199249.25,266976,44972.833333333336,2963.0,5.951591844933213
2024-09-19,5954,6088,5904,6074,205770,49976,,,,6035.6,6091.8,6175.384615384615,6175.384615384615,6251.436448431831,210.0,26.64298401420959,-152.95032434414134,-123.71507712836738,-29.235247215773953,6570.0401938844325,5780.729036884798,6175.384615384615,789.3111569996345,39.698819705260654,31.435882058732105,56.224694998317744,-62.93859649122807,-42.898904388027496,100.0,199750.84615384616,472746,45357.692307692305,-2772.0,-5.255175551679681
2024-09-20,6078,6112,6034,6078,122032,49150,,,,6050.8,6070.6,6168.428571428572,6168.428571428572,6234.918691438324,200.57142857142858,26.902654867256643,-147.46964625324745,-128.4659909533434,-19.00365529990404,6551.15781035561,5785.699332501533,6168.428571428572,765.4584778540775,44.33421836150083,35.73532749298835,61.5320000985258,-62.5,-27.95792341525646,100.0,194199.5,594778,45628.57142857143,-826.0,-1.6527933408035822
2024-09-23,6062,6068,5986,5998,117181,49532,,,,6040.8,6047.8,6157.066666666667,6157.066666666667,6212.355006539436,193.28571428571428,25.123966942148755,-147.87686830450457,-132.34816642357563,-15.528701880928935,6536.229252725295,5777.904080608038,6157.066666666667,758.3251721172564,43.24475581466827,38.23847026688165,53.25732691024149,-70.49549549549549,-40.72355459218678,93.38842975206607,189064.93333333332,477597,45888.8,382.0,0.777212614445566
2024-09-24,5992,6186,5974,6170,141100,44441,,,,6056.4,6042.8,6157.875,6157.875,6208.3211963928225,189.57142857142858,41.10535405872193,-132.78991272295843,-132.4365156834522,-0.353397039506234,6524.237934806457,5791.512065193543,6157.875,732.7258696129138,51.50486333308083,42.660601288948044,69.19338742134639,-38.70056497175141,-15.367095059693954,100.0,186067.125,618697,45798.3125,-5091.0,-10.278203989340229
2024-09-25,6188,6380,6172,6182,153709,34310,,,,6100.4,6052.0,6159.294117647059,6159.294117647059,6205.814415783982,196.57142857142858,41.20689655172414,-118.49910806251228,-129.64903415926423,11.149926096751955,6514.216478668369,5804.371756625748,6159.294117647059,709.8447220426206,57.4214616837516,47.5808880872159,77.10260887682301,-30.74534161490683,21.126511015127353,100.0,184163.70588235295,772406,45122.529411764706,-10131.0,-22.79651673004658
2024-09-26,6146,6258,6130,6184,121938,32456,,,,6122.4,6079.0,6160.666666666667,6160.666666666667,6203.736852375984,195.14285714285714,45.028142589118204,-105.79264733922719,-124.87775679525683,19.08510945602964,6505.18884216741,5816.144491165924,6160.666666666667,689.0443510014866,58.54764112250106,51.23647243231095,73.16997850288129,-30.434782608695652,5.643360851438403,100.0,180706.72222222222,894344,44418.833333333336,-1854.0,-5.403672398717574
2024-09-27,6206,6312,6172,6294,95044,27141,,,,6165.6,6108.2,6167.684210526316,6167.684210526316,6212.3333426258905,195.57142857142858,53.05755395683454,-85.85690007922676,-117.07358545205082,31.21668537282406,6508.042879274172,5827.325541778459,6167.684210526316,680.7173374957129,66.34268511808193,56.27187666090128,86.48430203244324,-13.354037267080745,24.89513023678331,100.0,176198.15789473685,989388,43509.47368421053,-5315.0,-16.376016761153565
2024-09-30,6290,6560,6262,6516,107451,20891,,,,6269.2,6155.0,6185.1,6185.1,6241.25397666152,206.85714285714286,61.144578313253014,-51.54989695439326,-103.96884775251931,52.41895079812605,6551.17614968531,5819.023850314691,6185.1,732.1522993706185,75.32601772099771,62.623257014266756,100.73153913445964,-5.339805825242719,73.82040514055795,100.0,172760.8,1096839,42378.55,-6250.0,-23.027891382041933
2024-10-08,6800,6820,6546,6574,82640,20160,,,,6350.0,6203.2,6183.8,6203.619047619048,6272.944074122328,215.14285714285714,69.26751592356688,-19.456946962521215,-87.0664675945197,67.60952063199848,6543.806783561819,5823.793216438181,6183.8,720.0135671236385,74.59871341516296,66.61507581456549,90.56598861635791,-22.69372693726937,123.52324708231478,100.0,169075.45,1179479,42325.85,-731.0,-3.4991144511990813
2024-10-09,6568,6578,6474,6504,90380,23211,,,,6414.4,6257.4,6190.2,6217.272727272727,6294.949400396392,209.71428571428572,75.65217391304348,0.3247881816823792,-69.58821643927928,69.91300462096166,6568.670940273594,5811.7290597264055,6190.2,756.9418805471887,70.61506032248059,67.94840398387052,75.94837299970072,-29.15129151291513,85.24816798211319,100.0,165638.7,1089099,41799.0,3051.0,15.133928571428568
2024-10-10,6474,6510,6384,6448,74052,24769,,,,6467.2,6294.8,6193.3,6227.304347826087,6309.525647977687,173.14285714285714,69.94633273703042,11.352360865240371,-53.40010097837535,64.75246184361572,6579.461188052211,5807.13881194779,6193.3,772.322376104421,65.7528298130958,67.21654592694561,62.82539758539619,-39.57446808510638,64.32817468601,90.24797845713266,162829.1,1015047,41229.5,1558.0,6.712334668906994
2024-10-11,6462,6532,6446,6508,60933,23289,,,,6510.0,6337.8,6204.2,6239.0,6328.427967217907,165.28571428571428,70.31802120141343,24.649150165860192,-37.79025074952824,62.43940091538843,6613.4692332232635,5794.930766776736,6204.2,818.5384664465273,64.87540900069271,66.43616695152798,61.75389309902218,-34.06113537117904,70.53491294494077,90.66014673558995,159581.05,1075980,40406.6,-1480.0,-5.975210949170329
2024-10-14,6516,6572,6446,6472,60198,19425,,,,6501.2,6385.2,6216.5,6248.32,6342.101494149535,163.71428571428572,66.90391459074733,31.91416571288846,-23.849367457044902,55.76353316993337,6642.953428073675,5790.046571926325,6216.5,852.9068561473505,59.77201179756326,64.2147819002064,50.88647159227696,-37.99126637554585,64.8737969157748,84.68220487742944,158236.95,1015782,39476.3,-3864.0,-16.59152389540126
