时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-05,19640,19690,19610,19650,596,0,19450.0,19475.0,19423.5,19260.5,57.74687230745985,54.58821767896266,3.158654628497196,57.06521739130434,186.42857142857144,108.3635679930818,1627.6,43847,0.0,0.0,0.0
2000-01-06,19370,19420,19370,19370,1549,0,19448.0,19437.0,19421.0,19264.166666666668,46.84345123971434,53.039264391112994,-6.195813151398653,58.98876404494382,178.57142857142858,-20.49956023875049,1571.7,42298,0.0,0.0,0.0
2000-01-07,19220,19220,19210,19210,574,0,19416.0,19416.0,19410.5,19270.166666666668,25.003523608404063,47.43211623457121,-22.428592626167145,44.375,162.85714285714286,-90.37329151667944,1530.35,41724,0.0,0.0,0.0
2000-01-10,19400,19460,19390,19440,604,0,19426.0,19418.0,19410.5,19279.0,25.955107104004128,43.13671440845779,-17.181607304453664,51.64835164835165,170.71428571428572,5.843654294035539,1472.45,42328,0.0,0.0,0.0
2000-01-12,19340,19390,19340,19360,926,0,19406.0,19406.0,19409.0,19285.166666666668,20.023098650653992,38.51399125689704,-18.490892606243044,47.540983606557376,167.14285714285714,-23.30265556416452,1427.05,41402,0.0,0.0,0.0
2000-01-13,19360,19360,19330,19360,641,0,19348.0,19399.0,19407.5,19292.0,15.147330219675496,33.84065904945273,-18.69332882977724,37.25490196078432,147.14285714285714,-28.44999113816445,1439.75,41402,0.0,0.0,0.0
2000-01-14,19610,19610,19530,19530,782,0,19380.0,19414.0,19414.5,19302.33333333333,24.71591814161729,32.015710867885645,-7.29979272626835,54.01459854014598,141.42857142857142,56.84276969310268,1434.1,42184,0.0,0.0,0.0
2000-01-17,19300,19360,19300,19330,1584,0,19404.0,19410.0,19428.5,19308.666666666668,15.976596221298678,28.807887938568253,-12.831291717269576,47.13375796178344,152.85714285714286,-47.35280555649047,1424.9,40600,0.0,0.0,0.0
2000-01-18,19310,19410,19310,19350,1033,0,19386.0,19406.0,19426.5,19314.33333333333,10.54292125556458,25.15489460196752,-14.61197334640294,45.751633986928105,145.71428571428572,-33.86421721353176,1412.35,41633,0.0,0.0,0.0
2000-01-19,19390,19510,19390,19460,1667,0,19406.0,19406.0,19430.5,19319.83333333333,14.940550028783036,23.112025687330625,-8.171475658547589,50.94339622641509,151.42857142857142,10.401711060968536,1453.3,43300,0.0,0.0,0.0
