时间,开盘,最高,最低,收盘,成交量,持仓量,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-05,19640,19690,19610,19650,596,0,,,,19450.0,19475.0,19423.5,19260.5,19420.79723643709,186.42857142857144,57.06521739130434,57.74687230745985,54.58821767896266,3.158654628497196,19681.122735184872,19165.877264815128,19423.5,515.245470369744,48.94098530272912,40.94239020660383,64.93817549497967,-15.492957746478874,108.3635679930818,81.09498945677277,1627.6,43847,0.0,0.0,0.0
2000-01-06,19370,19420,19370,19370,1549,0,,,,19448.0,19437.0,19421.0,19264.166666666668,19415.959404395464,178.57142857142858,58.98876404494382,46.84345123971434,53.039264391112994,-6.195813151398653,19679.73375870701,19162.266241292986,19421.0,517.4675174140284,37.13182803965725,39.67220281762164,32.051078483728475,-88.63636363636364,-20.49956023875049,86.24393926196908,1571.7,42298,0.0,0.0,0.0
2000-01-07,19220,19220,19210,19210,574,0,,,,19416.0,19416.0,19410.5,19270.166666666668,19396.344223024465,162.85714285714286,44.375,25.003523608404063,47.43211623457121,-22.428592626167145,19685.91165361562,19135.08834638438,19410.5,550.8233072312432,24.75455202643817,34.69965255389381,4.864350971526875,-100.0,-90.37329151667944,0.0,1530.35,41724,0.0,0.0,0.0
2000-01-10,19400,19460,19390,19440,604,0,,,,19426.0,19418.0,19410.5,19279.0,19400.50191606976,170.71428571428572,51.64835164835165,25.955107104004128,43.13671440845779,-17.181607304453664,19685.91165361562,19135.08834638438,19410.5,550.8233072312432,32.47525690651433,33.95818733810065,29.50939604334169,-58.18181818181818,5.843654294035539,44.3653121072476,1472.45,42328,0.0,0.0,0.0
2000-01-12,19340,19390,19340,19360,926,0,,,,19406.0,19406.0,19409.0,19285.166666666668,19396.64459072978,167.14285714285714,47.540983606557376,20.023098650653992,38.51399125689704,-18.490892606243044,19685.207397286376,19132.792602713624,19409.0,552.4147945727527,32.066837937676226,33.32773753795917,29.54503873711033,-72.72727272727273,-23.30265556416452,19.31157155905965,1427.05,41402,0.0,0.0,0.0
2000-01-13,19360,19360,19330,19360,641,0,,,,19348.0,19399.0,19407.5,19292.0,19393.154629707893,147.14285714285714,37.25490196078432,15.147330219675496,33.84065904945273,-18.69332882977724,19684.4666519921,19130.5333480079,19407.5,553.9333039842022,31.794558625117485,32.81667790034528,29.7503200746619,-68.75,-28.44999113816445,0.0,1439.75,41402,0.0,0.0,0.0
2000-01-14,19610,19610,19530,19530,782,0,,,,19380.0,19414.0,19414.5,19302.33333333333,19406.187522116667,141.42857142857142,54.01459854014598,24.71591814161729,32.015710867885645,-7.29979272626835,19696.63285411016,19132.36714588984,19414.5,564.2657082203223,43.41859463896721,36.35065014655259,57.55448362379646,-33.333333333333336,56.84276969310268,77.11329221867472,1434.1,42184,0.0,0.0,0.0
2000-01-17,19300,19360,19300,19330,1584,0,,,,19404.0,19410.0,19428.5,19308.666666666668,19398.931567629366,152.85714285714286,47.13375796178344,15.976596221298678,28.807887938568253,-12.831291717269576,19657.20574061312,19199.79425938688,19428.5,457.4114812262415,37.279063092644805,36.66012112858333,38.51694702076776,-75.0,-47.35280555649047,45.45375305477448,1424.9,40600,0.0,0.0,0.0
2000-01-18,19310,19410,19310,19350,1033,0,,,,19386.0,19406.0,19426.5,19314.33333333333,19394.27141833133,145.71428571428572,45.751633986928105,10.54292125556458,25.15489460196752,-14.61197334640294,19657.31320768541,19195.68679231459,19426.5,461.626415370818,34.57493095065209,35.96505773593958,31.794677380077104,-70.83333333333333,-33.86421721353176,39.094441628653485,1412.35,41633,0.0,0.0,0.0
2000-01-19,19390,19510,19390,19460,1667,0,,,,19406.0,19406.0,19430.5,19319.83333333333,19400.531283252152,151.42857142857142,50.94339622641509,14.940550028783036,23.112025687330625,-8.171475658547589,19660.692139423903,19200.307860576097,19430.5,460.38427884780685,43.88328730043472,38.60446759077129,54.44092671976159,-47.91666666666666,10.401711060968536,62.98233702148817,1453.3,43300,0.0,0.0,0.0
