时间,涨跌,涨跌幅,成交额,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,WILLIAMS_R14,KDJ_K,KDJ_D,KDJ_J,CCI20,PLUS_DI14,MINUS_DI14,ADX14,STOCH_RSI,PSAR,HHV20,LLV20,BREAKOUT_LONG20,BREAKOUT_SHORT20,VOL_MA20,OBV,VWAP20,BUY_PRESSURE,SELL_PRESSURE,PRICE_EFFICIENCY,LIQUIDITY_RATIO,DRAWDOWN_20,MAX_DRAWDOWN_20,SHARPE_RATIO_20,VAR_95_1D,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,PANIC_INDEX,MARKET_BREADTH,OI_MA20,OI_CHANGE,OI_CHANGE_PCT,OI_CONCENTRATION,ROLLOVER_PRESSURE,MONEY_FLOW_DIRECTION,PRICE_OI_DIVERGENCE
2023-07-21,,,,215100.0,215100.0,215100.0,215100.0,215100.0,24750.0,0.0,0.0,0.0,0.0,215100.0,215100.0,215100.0,0.0,-96.16161616161617,3.8383838383838382,3.8383838383838382,3.838383838383839,0.0,0.0,0.0,0.0,0.0,215100.0,215100.0,215100.0,0,0,59519.0,0,222716.66666666666,0.03838383838383838,0.9616161616161616,0.0,2404.808080808081,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,5854.0,0.0,0.0,,10.167236077895456,0.0,0.0
2023-07-24,,,,213250.0,213250.0,213250.0,213250.0,214747.61904761905,15425.0,0.0,-295.1566951566783,-59.03133903133567,-236.12535612534265,218482.59018078045,208017.40981921955,213250.0,10465.180361560895,-91.97324414715719,5.234507843203495,4.303758506657058,7.09600651629637,-35.35533905932733,0.0,16.693679092382496,50.0,0.0,238900.0,215100.0,211400.0,0,1,50090.5,-40662,218245.16308814377,0.42105263157894735,0.5789473684210527,0.6491228070175439,7133.684210526316,-1.7201301720130124,-1.7201301720130124,-11.224972160321823,-1.6341236634123617,0.0,0.0,0.0,0.0,6767.0,1826.0,31.192347113085074,0.1908049331234869,7.730883663947728,-0.5,0.0
2023-07-25,,,,217466.66666666666,217466.66666666666,217466.66666666666,217466.66666666666,215809.75056689343,15250.0,79.67032967032966,633.6539476140752,79.50571829774648,554.1482293163286,232534.95566486858,202398.37766846473,217466.66666666666,30136.577996403852,-43.47826086956522,22.33025160561392,10.312589539642676,46.365575737556405,20.997915350316003,24.480874316939893,11.256830601092897,45.667686034658516,100.0,209000.0,225900.0,211400.0,1,0,53989.333333333336,21125,219270.6371011558,1.0,0.0,0.9731543624161074,4146.778523489933,0.0,-1.7201301720130124,5.99105330571371,-1.5481171548117112,47.8021978021978,0.0,0.0,0.3333333333333333,7582.333333333333,1533.0,19.960937500000007,0.22178245174392214,7.389423003433585,0.0,0.0
2023-07-26,,,,220050.0,220050.0,220050.0,220050.0,216951.67908433217,15787.5,81.59203980099502,1505.7004176183254,364.7446581618623,1140.955759456463,236116.94328945823,203983.05671054177,220050.0,32133.886578916456,-40.22257551669316,34.81264256484489,18.47927388137675,67.47937993178118,58.39912882321135,40.775930324623914,8.155186064924782,50.91743119266055,100.0,209000.0,227800.0,211400.0,1,0,64414.0,116813,223416.22686838266,0.27298850574712646,0.7270114942528736,0.10919540229885058,5499.310344827586,0.0,-1.7201301720130124,6.359974896096847,-1.4621106462110605,80.4390137225958,0.0,0.0,0.5,7967.25,-91.0,-0.9877347226744826,0.19757537833179947,8.1645184694136,-0.125,0.0
2023-07-27,,,,221020.0,221020.0,221020.0,221020.0,217708.6620286815,14850.0,71.30434782608695,1940.4296984749963,679.8816662244892,1260.548032250507,235594.90994826384,206445.09005173616,221020.0,29149.819896527682,-49.44356120826709,40.06057464047423,25.673040801075906,68.83564231927087,32.866882695045426,34.68013468013468,7.0033670033670035,54.013427991285155,87.39130434782608,240450.0,227800.0,211400.0,0,0,60515.8,71890,223997.78796060974,0.17117117117117117,0.8288288288288288,0.26126126126126126,4047.117117117117,-1.2730465320456408,-1.7201301720130124,4.318381090509833,-1.63071344401954,80.05467169646273,0.0,0.0,0.6,8294.4,481.0,5.272966454724837,0.18652487488670827,7.467218232783823,-0.3,0.0
2023-07-28,,,,223580.0,222166.66666666666,222166.66666666666,222166.66666666666,218679.26564499753,13775.0,74.61538461538461,2498.2326427533117,1043.5518615302537,1454.680781223058,236361.68926850377,207971.64406482954,222166.66666666666,28390.045203674235,-39.904610492845784,46.73884626270089,32.6949759549509,74.82658687820087,26.24155921425972,31.15547489413188,7.441016333938294,55.251524371003036,91.44934333958723,209000.0,227900.0,211400.0,1,0,57585.5,114824,224345.99532675566,0.6964285714285714,0.30357142857142855,0.35714285714285715,5111.190476190476,0.0,-1.7201301720130124,5.156725468804668,-1.6083592620211724,79.67032967032966,0.0,0.0,0.6666666666666666,8448.166666666666,-386.0,-4.019577215453507,0.16975555305989057,6.365397359832484,-0.4,0.0
2023-07-31,,,,226910.0,223007.14285714287,223007.14285714287,223007.14285714287,219571.71653595014,12521.42857142857,74.76099426386233,2918.7536658459576,1418.5922223933946,1500.161443452563,236707.31664818517,209306.96906610057,223007.14285714287,27400.347582084592,-39.42766295707472,51.35000985610902,38.913320588670274,76.22338839098651,41.297722327454345,32.11637193382773,7.01654306902453,56.52129827385433,91.62780394534347,209000.0,228050.0,211400.0,1,0,54148.42857142857,148350,224809.23787965532,0.04,0.96,0.03,6705.2,0.0,-1.7201301720130124,4.8564578168496695,-1.5860050800228045,78.6884625890362,14.260869565217403,0.0,0.7142857142857143,8622.285714285714,450.0,4.882282738418131,0.16096159100880084,6.0001085712993305,0.0,0.0
2023-08-01,,,,227410.0,223681.25,223681.25,223681.25,220412.50543728823,11493.75,75.09433962264151,3242.8797817636223,1783.4497342674401,1459.4300474961822,236925.97266872466,210436.52733127534,223681.25,26489.445337449317,-38.314785373608906,54.79507811286972,44.20723976340342,75.97075481180232,27.08950677933842,30.61446438281675,9.026644915715062,56.2634062228187,92.03635526921308,209000.0,228400.0,211400.0,1,0,50001.25,169321,224978.26491837704,0.627906976744186,0.37209302325581395,0.08139534883720931,4876.976744186046,0.0,-1.7201301720130124,4.683575785090987,-1.5636508980244361,77.83993365125441,28.521739130434792,0.0,0.75,8767.625,118.0,1.2206475638770975,0.15386868719865918,5.0874439016552655,0.0,0.0
2023-08-02,,,,227560.0,224222.22222222222,224222.22222222222,224222.22222222222,221187.50491945125,10483.333333333334,75.23452157598499,3471.834661394125,2121.1267196927774,1350.7079417013474,237029.65279114502,211414.7916532994,224222.22222222222,25614.86113784561,-37.83783783783784,57.250772795967194,48.55508410759134,74.64215017271891,31.85369140669012,30.20667726550079,8.797032326444091,56.11095045893063,92.20816363885965,209000.0,228550.0,211400.0,1,0,46235.444444444445,185430,225132.02064793964,0.25,0.75,0.0625,6712.083333333333,0.0,-1.7201301720130124,4.476601021590811,-1.5412967160260682,77.00884481372286,42.78260869565218,0.0,0.7777777777777778,8874.666666666666,-54.0,-0.5518650996423125,0.14672668640374423,3.3205691474836834,0.0,0.0
2023-08-03,,,,228510.0,224765.0,224765.0,224765.0,221993.45683188448,9980.0,76.21621621621622,3699.3994854761986,2436.781272849462,1262.6182126267367,237318.44574210604,212211.55425789396,224765.0,25106.891484212072,-34.34022257551669,60.0537743388059,52.38798085132953,75.38536131375864,23.261912132114876,28.557114228456914,11.673346693386774,54.69661755500518,93.41133816743574,209000.0,229650.0,211400.0,1,0,43577.7,205088,225265.90687438758,0.926605504587156,0.07339449541284404,0.2018348623853211,3606.97247706422,0.0,-1.7201301720130124,4.596427246846332,-1.5189425340277003,76.90703890703891,57.04347826086956,0.0,0.8,9000.8,405.0,4.161956633439523,0.14341497286247168,2.7728504573972765,0.4,0.0
