时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2000-01-05,10055,10075,10050,10075,552,0,10097.0,10122.5,10233.5,10416.916666666666,-93.93361256443131,-84.93315519891797,-9.000457365513341,36.48648648648649,125.0,-55.14181926444109,1079.3,84228,0.0,0.0,0.0
2000-01-06,10050,10185,10050,10115,653,0,10094.0,10111.5,10218.25,10413.166666666666,-89.665531004086,-85.87963035995159,-3.785900644134415,40.45454545454546,127.85714285714286,-34.835468494111524,1043.05,84881,0.0,0.0,0.0
2000-01-07,10070,10115,10070,10110,448,0,10096.0,10116.5,10203.25,10409.916666666666,-85.69862344536523,-85.84342897703432,0.1448055316690926,39.72602739726028,121.42857142857144,-37.01553481924899,1018.0,84433,0.0,0.0,0.0
2000-01-10,10070,10250,10070,10220,909,0,10113.0,10129.0,10193.0,10408.25,-72.839096173484,-83.24256241632426,10.403466242840269,50.69767441860465,123.92857142857144,-4.038832779155838,1022.0,85342,0.0,0.0,0.0
2000-01-12,10195,10335,10185,10255,1241,0,10155.0,10133.0,10187.75,10407.5,-59.141870006928,-78.422423934445,19.280553927517005,60.73298429319373,119.28571428571428,28.261923769386552,1056.55,86583,0.0,0.0,0.0
2000-01-13,10265,10300,10255,10265,665,0,10193.0,10145.0,10174.0,10406.75,-46.93872278233903,-72.12568370402381,25.186960921684783,52.531645569620245,107.5,47.9170011568498,1019.75,87248,0.0,0.0,0.0
2000-01-14,10260,10395,10260,10385,1273,0,10247.0,10170.5,10174.5,10407.833333333334,-27.27028865729335,-63.15460469467772,35.88431603738437,71.81208053691276,105.0,91.96123326412028,1026.75,88521,0.0,0.0,0.0
2000-01-17,10385,10490,10375,10460,1666,0,10317.0,10206.5,10181.25,10410.25,-5.566868318213892,-51.63705741938496,46.07018910117107,73.2484076433121,107.14285714285714,122.94631532615212,1046.35,90187,0.0,0.0,0.0
2000-01-18,10460,10525,10380,10415,1742,0,10356.0,10234.5,10185.25,10411.083333333334,7.910932441098339,-39.727459447288304,47.63839188838664,64.08450704225352,106.07142857142856,107.69958311567756,1061.9,88445,0.0,0.0,0.0
2000-01-19,10415,10440,10385,10390,846,0,10383.0,10269.0,10194.5,10411.166666666666,16.386007879980752,-28.50476598183449,44.89077386181525,68.42105263157895,103.57142857142856,83.00629571734527,1025.0,87599,0.0,0.0,0.0
