时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,STOCH_RSI,VOL_MA20,MAX_DRAWDOWN_20,RSI_UPPER_DYNAMIC,RSI_LOWER_DYNAMIC,MARKET_BREADTH,OI_MA20
2019-06-24,3688.4,3662.8,3628.85,3584.4166666666665,3642.4708974313194,47.857142857142854,71.38364779874215,32.22852236074459,22.708839802009628,9.519682558734964,3728.045235454872,3529.654764545128,3628.85,198.39047090974418,90.17511844770726,224147.65,-2.012127894156601,65.73977780762516,38.462051709758136,0.85,365750.25
2019-06-25,3707.4,3677.1,3636.8,3586.266666666667,3651.9498595807177,48.642857142857146,70.35830618892508,36.067800669193275,25.38063197544636,10.687168693746916,3745.5490592825613,3528.050940717439,3636.8,217.49811856512224,84.86186219691488,235363.8,-2.012127894156601,66.38992123836475,38.462051709758136,0.85,369644.05
2019-06-26,3716.8,3682.9,3642.9,3587.65,3656.335587239697,50.714285714285715,59.9406528189911,35.15478167245965,27.335461914849017,7.819319757610632,3750.973853890947,3534.8261461090533,3642.9,216.1477077818936,4.940317313570804,250112.1,-2.012127894156601,66.38992123836475,38.462051709758136,0.85,373890.3
2019-06-27,3712.4,3688.7,3649.5,3589.35,3659.6369598835354,48.857142857142854,57.73809523809525,33.48042454769757,28.56445444141873,4.915970106278838,3751.9777254364626,3547.0222745635374,3649.5,204.9554508729252,0.0,250285.25,-2.012127894156601,66.38992123836475,38.462051709758136,0.9,376231.45
2019-06-28,3708.4,3690.0,3656.3,3592.1,3662.6239160851037,48.785714285714285,59.50920245398773,31.787062987867557,29.208976150708494,2.578086837159063,3750.052417513247,3562.5475824867535,3656.3,187.5048350264933,11.228151406412744,255561.45,-1.4332965821389543,66.38992123836475,39.29616560809222,0.95,377964.3
2019-07-01,3695.0,3691.7,3660.15,3593.883333333333,3661.7073526484273,50.357142857142854,58.08383233532934,27.06677044967728,28.780535010502252,-1.7137645608249734,3746.009800042058,3574.290199957942,3660.15,171.71960008411588,2.1918427296350034,259526.95,-2.378407268840188,66.38992123836475,39.595549104983064,0.95,379182.0
2019-07-02,3680.4,3693.9,3664.4,3595.883333333333,3662.401890491434,48.57142857142857,54.69255663430421,24.33643560693963,27.89171512978973,-3.5552795228500997,3742.448298137816,3586.351701862184,3664.4,156.09659627563178,0.0,255249.0,-2.378407268840188,66.38992123836475,39.62264150943396,0.95,380139.4
2019-07-03,3684.0,3700.4,3669.35,3598.366666666667,3667.506472349393,54.642857142857146,61.89111747851003,25.669233828647066,27.447218869561198,-1.7779850409141318,3747.298093390806,3591.4019066091937,3669.35,155.8961867816124,38.25085117400202,264491.95,-2.378407268840188,66.38992123836475,39.62264150943396,0.95,381902.3
2019-07-04,3683.8,3698.1,3672.3,3600.366666666667,3669.6487130780224,52.285714285714285,51.81818181818182,24.346848004302046,26.827144696509368,-2.4802966922073217,3748.585060964908,3596.0149390350925,3672.3,152.5701219298153,0.0,262161.4,-2.378407268840188,66.38992123836475,39.62264150943396,0.95,382746.4
2019-07-05,3683.8,3696.1,3674.9,3602.25,3671.6821689753538,49.142857142857146,59.515570934256054,23.11310585697447,26.08433692860239,-2.971231071627919,3749.9407608542015,3599.8592391457987,3674.9,150.08152170840276,35.48210298454774,251316.3,-2.378407268840188,66.38992123836475,39.62264150943396,0.95,383053.0
